"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.210833333E-4,6.108527631E-2,8.388590813E-2,-6.132165715E-2
2.056208333E-2,3.584164008E-2,5.371082947E-2,-5.158314481E-2
4.060308333E-2,-7.552905008E-3,-1.762456074E-2,-3.152187541E-2
6.064508333E-2,-7.350440603E-3,-3.074508533E-2,-2.563687973E-2
8.068608333E-2,3.980921209E-2,-4.625488538E-3,-3.069913201E-2
1.007270833E-1,7.474543154E-2,2.607951313E-2,-3.648121282E-2
1.207680833E-1,8.322233707E-2,3.192171454E-2,-3.594460711E-2
1.408100833E-1,8.043061197E-2,4.202903062E-2,-2.198947035E-2
1.608510833E-1,8.183975518E-2,5.114155635E-2,-1.993881539E-2
1.808920833E-1,8.320615441E-2,5.250562355E-2,-2.785904519E-2
2.009340833E-1,6.500917673E-2,1.501002349E-2,-3.865161911E-2
2.209750833E-1,6.120951101E-2,-8.822450414E-3,-5.397346988E-2
2.410160833E-1,9.963034093E-2,4.472219944E-2,-8.285592496E-2
2.610580833E-1,1.349314004E-1,1.147213280E-1,-1.118855029E-1
2.810990833E-1,1.499266773E-1,1.418805569E-1,-1.321953535E-1
3.011400833E-1,1.193787381E-1,1.123604476E-1,-1.135798246E-1
3.211810833E-1,7.548804581E-2,9.125803411E-2,-9.842025489E-2
3.412230833E-1,1.567295641E-1,9.950502217E-2,-1.865277290E-1
3.612640833E-1,1.845704615E-1,1.712935567E-1,-2.840397358E-1
3.813050833E-1,2.602681518E-1,5.537467450E-2,-4.219355583E-1
4.013470833E-1,4.286734760E-1,1.754131466E-1,-5.983834863E-1
4.213880833E-1,3.813722134E-1,8.979785442E-2,-1.110702753E0
4.414290833E-1,3.582251370E-1,9.985299781E-3,-1.739602566E0
4.614710833E-1,3.654213250E-1,-2.955124527E-2,-2.271603346E0
4.815120833E-1,2.281073630E-1,4.430156201E-2,-3.038266420E0
5.015530833E-1,2.555713952E-1,-1.160367951E-1,-3.653897047E0
5.215950833E-1,3.626590967E-1,-8.030963540E-1,-3.652904034E0
5.416360833E-1,1.848586947E-1,-3.567759991E-1,-4.699217796E0
5.616770833E-1,-8.482086658E-2,-3.528308570E-1,-6.147558212E0
5.817180833E-1,-1.893827617E-1,-2.774577737E-1,-6.802344322E0
6.017600833E-1,2.411303520E-1,1.204861879E0,-6.397453785E0
6.218010833E-1,2.769484222E-1,3.656286001E0,-5.391353130E0
6.418420833E-1,9.845535457E-2,5.223476410E0,-3.933337927E0
6.618840833E-1,-9.460042715E-1,4.263145447E0,-4.761629105E0
6.819250833E-1,-1.146264911E0,1.304286003E0,-4.543864250E0
7.019660833E-1,-5.017939806E-1,6.229520440E-1,-1.367143035E0
7.220080833E-1,-1.089628786E-1,2.997095883E-1,1.579347104E-1
7.420490833E-1,2.559608519E-1,-3.210309148E-1,1.480202436E0
7.620900833E-1,1.025610790E-1,-1.241061687E-1,4.202665687E-1
7.821310833E-1,-1.688028574E-1,3.985816836E-1,-3.687874675E-1
8.021730833E-1,-1.508995444E-1,6.143258810E-1,-2.774199545E-1
8.222140833E-1,4.556890205E-2,4.180091321E-1,-1.372807622E-1
8.422550833E-1,1.091090590E-1,7.130050659E-2,2.685649879E-2
8.622970833E-1,8.002708107E-2,-2.408052422E-2,6.494974345E-2
8.823380833E-1,5.522419512E-2,1.466601342E-1,-3.729551099E-3
9.023790833E-1,7.077034097E-3,2.988429368E-1,-6.142392755E-2
9.224210833E-1,1.147365104E-2,2.899008095E-1,-4.540710524E-2
9.424620833E-1,3.492271900E-2,1.966508329E-1,-1.425380912E-2
9.625030833E-1,2.211277746E-2,1.379391551E-1,-1.057552546E-2
9.825450833E-1,-1.618986949E-2,1.914528161E-1,-3.153018653E-2
1.002586083E0,-3.931782395E-2,2.537634671E-1,-4.225698113E-2
1.022627083E0,-6.558638066E-2,2.738476992E-1,-5.221512914E-2
1.042667833E0,-7.248556614E-2,2.858929932E-1,-5.730686709E-2
1.062709833E0,-6.457258016E-2,2.805654705E-1,-5.531095713E-2
1.082750833E0,-4.668492824E-2,2.548696101E-1,-3.036319092E-2
1.102791833E0,-2.499181591E-2,2.612027526E-1,-2.104203403E-2
1.122833833E0,-1.546276174E-2,2.641643286E-1,-1.928845420E-2
1.142874833E0,-2.287659980E-2,2.285594046E-1,-2.258754522E-2
1.162915833E0,-3.424210474E-2,2.218572944E-1,-2.811784297E-2
1.182957833E0,-3.365061805E-2,2.281103432E-1,-4.027540609E-2
1.202998833E0,-2.228564583E-2,2.293978930E-1,-4.747302830E-2
1.223039833E0,-1.652962156E-2,2.093145400E-1,-4.955117032E-2
1.243080833E0,-6.477920339E-3,2.006024569E-1,-4.532705620E-2
1.263122833E0,-1.086368039E-2,1.851026565E-1,-4.039307311E-2
1.283163833E0,-1.994239725E-2,1.612929702E-1,-2.028464712E-2
1.303204833E0,-3.740740940E-2,1.666371375E-1,-7.015447132E-3
1.323246833E0,-3.858618811E-2,1.310659349E-1,-6.240030285E-3
1.343287833E0,-4.842377082E-2,1.522846520E-1,-1.504337788E-2
1.363328833E0,-5.389270559E-2,1.349031180E-1,-7.893971168E-3
1.383369833E0,-3.651704639E-2,6.058243290E-2,1.074214652E-2
1.403411833E0,-4.579869658E-2,9.731847048E-2,3.479328705E-3
1.423452833E0,-4.400252551E-2,1.435334831E-1,-3.090803744E-3
1.443493833E0,-4.669437930E-2,1.103765443E-1,-2.365619875E-3
1.463535833E0,-3.717031330E-2,8.558898419E-2,3.979783971E-3
1.483576833E0,-2.967338823E-2,6.298293173E-2,3.496562364E-3
1.503617833E0,-5.169646442E-2,8.927971125E-2,-6.137106102E-3
1.523659833E0,-8.044795692E-2,1.354543120E-1,-1.533021685E-2
1.543700833E0,-1.022250876E-1,1.458726674E-1,-2.533821017E-2
1.563741833E0,-1.024230272E-1,1.396415085E-1,-4.820074141E-2
1.583782833E0,-1.075217128E-1,8.775568753E-2,-3.495233506E-2
1.603824833E0,-1.134353280E-1,9.689730406E-2,-7.470701821E-3
1.623865833E0,-1.194390282E-1,2.502864003E-1,1.047919737E-3
