time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1781033539321272800,-0.02472705078125,-0.060339998453855515,0.2822830080986023,-0.20210300385951996,0.9358569979667664,0.5861781239509583,0.4250265061855316,-0.0012746816501021385
1781033539488114400,0.142114501953125,-0.10116700083017349,0.3153339922428131,-0.1663070023059845,0.9288010001182556,0.6372556686401367,0.3819546699523926,0.0896124392747879
1781033539497867800,0.15186767578125,-0.11757899820804596,0.32210201025009155,-0.1497119963169098,0.9273679852485657,0.6447439193725586,0.3612256944179535,0.13039331138134003
1781033539517369300,0.171369384765625,-0.13554100692272186,0.3265320062637329,-0.13072000443935394,0.9262380003929138,0.647759199142456,0.33701619505882263,0.17651116847991943
1781033539536864300,0.1908642578125,-0.15480700135231018,0.3282090127468109,-0.10954800248146057,0.925370991230011,0.6461008191108704,0.30926984548568726,0.22723767161369324
1781033539556360400,0.2103603515625,-0.17382900416851044,0.32881298661231995,-0.0883290022611618,0.924045979976654,0.6442075371742249,0.28124773502349854,0.2774741053581238
1781033539575860200,0.229860107421875,-0.19280999898910522,0.3282260000705719,-0.06754399836063385,0.9222409725189209,0.6416847705841064,0.25387248396873474,0.32742252945899963
1781033539595360300,0.2493603515625,-0.21199899911880493,0.3265030086040497,-0.04721299931406975,0.9199029803276062,0.6385201215744019,0.22725029289722443,0.37759479880332947
1781033539614859500,0.268859619140625,-0.2309270054101944,0.32346901297569275,-0.027783000841736794,0.9172059893608093,0.6342329978942871,0.20172631740570068,0.4268849194049835
1781033539634362400,0.2883623046875,-0.2493710070848465,0.31894901394844055,-0.009720999747514725,0.9143249988555908,0.6281646490097046,0.17778466641902924,0.47463616728782654
1781033539653869800,0.307869873046875,-0.26747599244117737,0.31311601400375366,0.0070420000702142715,0.9112430214881897,0.6204647421836853,0.15529148280620575,0.5211438536643982
1781033539673373000,0.327373046875,-0.2853719890117645,0.30583301186561584,0.02233799919486046,0.9080359935760498,0.6105688214302063,0.13438908755779266,0.5665915012359619
1781033539692873000,0.346873046875,-0.3029029965400696,0.29725900292396545,0.036538999527692795,0.9047380089759827,0.5988479256629944,0.11421298235654831,0.6108399629592896
1781033539712372700,0.366372802734375,-0.3194980025291443,0.2872850000858307,0.049327999353408813,0.9016389846801758,0.584823489189148,0.09476363658905029,0.6525453329086304
1781033539731869200,0.385869140625,-0.3352389931678772,0.27625998854637146,0.060860998928546906,0.8986600041389465,0.5691136717796326,0.07591244578361511,0.6918933391571045
