time,seconds_elapsed,magneticBearing
1781030685928728600,0.372728515625,358.60817685615325
1781030685949267000,0.393266845703125,359.37867674426235
1781030685969545700,0.413545654296875,358.8397858876315
1781030685989728000,0.43372802734375,356.66416371020404
1781030686029645300,0.473645263671875,356.15917971079125
1781030686049642000,0.49364208984375,356.85955272038615
1781030686069646000,0.51364599609375,358.04098550660666
1781030686089642800,0.533642822265625,358.68244790190255
1781030686109868300,0.553868408203125,357.22352459202244
1781030686149869000,0.593869140625,356.83749943553676
1781030686189869800,0.633869873046875,358.0472817285258
1781030686229634600,0.673634521484375,358.74322149353407
1781030686249638700,0.693638671875,357.34630948069287
1781030686269635600,0.713635498046875,355.8349675089431
1781030686289640000,0.733639892578125,357.44171655795634
1781030686309872600,0.75387255859375,358.0827875879127
1781030686349873400,0.793873291015625,355.52786974487185
1781030686389866800,0.83386669921875,357.7669563762783
1781030686429631500,0.873631591796875,355.4502416735253
1781030686449628200,0.893628173828125,355.01555727917815
1781030686469632500,0.913632568359375,355.4011676530847
1781030686489629000,0.93362890625,357.4315812218947
1781030686509869600,0.95386962890625,357.64241863388173
1781030686549870300,0.993870361328125,355.81019255369677
1781030686589871400,1.033871337890625,355.20268744944485
1781030686629636000,1.073635986328125,356.24036050170895
1781030686649632800,1.0936328125,357.85633770558906
1781030686669637000,1.11363720703125,359.27782250086466
1781030686689626000,1.133626220703125,357.4456786606739
1781030686709729500,1.1537294921875,355.3878693731046
1781030686749586000,1.1935859375,358.2665293827552
1781030686769598000,1.213597900390625,358.9043634157837
1781030686789731800,1.23373193359375,357.8507948474122
1781030686829640700,1.273640625,359.29611052749266
1781030686849645000,1.29364501953125,358.4073349696204
1781030686869641700,1.313641845703125,358.62604426736203
1781030686889638400,1.333638427734375,359.7581686105202
1781030686909871400,1.353871337890625,359.85322918995234
1781030686949864400,1.393864501953125,2.2979555054305134
1781030686989865500,1.433865478515625,3.6240135853971767
1781030687029637600,1.4736376953125,4.35627459440224
1781030687049634300,1.49363427734375,3.696710701756624
1781030687069638700,1.513638671875,5.6980541641850575
1781030687089635000,1.533635009765625,7.1451061229049335
1781030687109868300,1.553868408203125,7.40569453484013
1781030687149869000,1.593869140625,10.36985130524111
1781030687189877500,1.63387744140625,11.127855740552773
1781030687229642000,1.67364208984375,12.756936161850685
1781030687249638700,1.693638671875,13.718913591740689
1781030687269635300,1.71363525390625,14.684264050110043
1781030687289639700,1.7336396484375,15.664812961173732
1781030687309872600,1.75387255859375,15.114825982656047
1781030687349873700,1.793873779296875,18.599634833364696
1781030687389867000,1.833866943359375,17.436636247397523
1781030687429631500,1.873631591796875,18.491798864731244
1781030687449635800,1.8936357421875,17.435107959427167
1781030687469640000,1.913639892578125,15.822435223633775
1781030687489636600,1.93363671875,15.649928014894533
1781030687509877200,1.953877197265625,14.418789270321476
1781030687549650000,1.99364990234375,13.952650056966238
1781030687589414400,2.033414306640625,10.786334002533666
1781030687609495000,2.0534951171875,11.210895674093827
1781030687629399600,2.073399658203125,9.729256840763512
1781030687649632800,2.0936328125,8.470534409800058
1781030687669629400,2.11362939453125,8.099468779561374
1781030687689633500,2.133633544921875,7.098188297952911
1781030687709866500,2.153866455078125,6.106161609228752
1781030687749867500,2.193867431640625,4.074587688931294
1781030687789868300,2.233868408203125,2.682021285918308
1781030687829640700,2.273640625,3.2296154365302816
1781030687849644800,2.293644775390625,3.1296255831644415
1781030687869641500,2.313641357421875,2.974949033457823
1781030687889638100,2.33363818359375,2.2502402517222975
1781030687909871000,2.35387109375,2.8103633945564326
1781030687949864200,2.3938642578125,4.612092176024554
1781030687989865200,2.433865234375,3.8278280859957934
1781030688029637400,2.473637451171875,5.226193904226967
1781030688049634000,2.493634033203125,5.226193904226967
1781030688069638400,2.513638427734375,3.1384016981446274
1781030688089635000,2.533635009765625,2.594486562493926
1781030688109868000,2.553867919921875,3.7784776383572227
1781030688149868800,2.593868896484375,2.931681910287128
1781030688189877500,2.63387744140625,3.329159599410792
1781030688229642000,2.67364208984375,1.32744399055702
1781030688249638700,2.693638671875,1.32744399055702
1781030688269635300,2.71363525390625,1.0623579103800427
1781030688289639700,2.7336396484375,0.6160599083992303
1781030688309880300,2.75388037109375,359.7845454823031
1781030688349881000,2.793881103515625,358.9447128196387
