"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
9.837499965E-4,5.275291950E-2,4.355702922E-2,-2.338822372E-2
2.102575000E-2,1.100793667E-2,4.120713565E-3,-2.026060224E-2
4.106675000E-2,1.504608802E-2,-1.490224525E-2,-9.952838533E-3
6.110875000E-2,3.351391107E-2,2.311554179E-2,-3.167412803E-2
8.114975000E-2,3.821571916E-2,3.505051881E-2,-3.658108041E-2
1.011917500E-1,2.579925954E-2,2.937195078E-2,-2.654522657E-2
1.212327500E-1,2.190605737E-2,8.570673876E-3,-8.113251999E-3
1.412747500E-1,4.289282858E-2,2.327468619E-2,1.068125386E-2
1.613157500E-1,6.333072484E-2,4.672248662E-2,1.706134644E-3
1.813577500E-1,5.774421990E-2,4.001197964E-2,3.600581549E-3
2.013987500E-1,5.029994994E-2,-1.736594830E-3,3.814479802E-3
2.214407500E-1,5.597687140E-2,1.125292014E-2,-1.012299117E-2
2.414817500E-1,3.416106105E-2,5.884419661E-4,2.406453481E-3
2.615237500E-1,4.290401936E-2,-4.828226939E-2,8.225398138E-3
2.815647500E-1,8.531132340E-2,-8.512983471E-2,1.752921753E-2
3.016067500E-1,9.409037232E-2,-7.131955773E-2,7.028121501E-2
3.216477500E-1,9.079144895E-2,-2.884897962E-2,1.269377172E-1
3.416897500E-1,1.075761467E-1,-1.752101332E-1,9.549789876E-2
3.617307500E-1,8.622632921E-2,-3.003787994E-1,7.684708387E-2
3.817727500E-1,1.047265679E-1,-2.056698352E-1,6.493800879E-2
4.018137500E-1,-1.254106872E-2,-9.523659945E-2,1.105488539E-1
4.218557500E-1,-2.353619486E-1,1.512673795E-1,2.448007613E-1
4.418977500E-1,-5.991104841E-1,4.444650561E-2,8.541279435E-1
4.619387500E-1,-5.580919385E-1,-1.175320268E0,1.461052299E0
4.819807500E-1,-4.788323343E-1,-1.303333282E0,1.918520808E0
5.020217500E-1,-5.276774764E-1,-7.892153859E-1,2.343578100E0
