Time (s),Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,activity_label
5.069638958,-3.707939301,9.035660248,-0.3713777161,0.01118605677,-0.0150581412,-0.01123531256,1
5.089680958,-3.828289032,8.977730713,-0.2290237427,0.04804753512,0.08309837431,-0.01672166213,1
5.109722958,-3.742218018,8.967851257,-0.6074368286,-0.01463058591,-0.0406409353,-0.02205789834,1
5.129764958,-3.815415802,8.975934448,-0.1408570862,0.06201848015,0.08042082936,0.008960265666,1
5.149806958,-3.67171463,9.075477448,-0.5101391602,0.0196393095,-0.07109215111,-0.01016733609,1
5.169849958,-3.982618103,8.877738647,-0.4294569397,0.02406026796,-0.04730720446,-0.03265935555,1
5.189891958,-3.912563782,8.933273163,-0.192948761,0.06041729823,0.02743023448,-0.03951991349,1
5.209933958,-3.720513153,8.89854538,-0.5526507568,0.03519456834,-0.02926773764,-0.01541882381,1
5.229975958,-3.66003891,9.034013672,-0.1877096558,0.05855501443,0.01668113843,0.0002101401333,1
5.250017958,-3.682641907,9.130113831,-0.3734733582,0.03081714734,-0.04654135555,0.001292166184,1
5.270060958,-3.82155304,9.104517059,-0.5309458923,0.05850502104,-0.02037844621,-0.01536075119,1
5.290102958,-3.839515686,8.980275421,-0.4242178345,-0.003189838957,0.07773807645,-0.0466539748,1
5.310144958,-3.63429245,8.925938416,-0.3742218018,0.02456651442,-0.009394618683,-0.003998394124,1
5.330186958,-3.475023651,9.162296906,-0.5002597046,0.03934152797,-0.01585416123,0.00486615859,1
5.350228958,-3.640878754,8.932824097,-0.5243595886,0.03191655129,0.00571866706,0.01683819853,1
5.370271958,-3.744463348,9.036259003,-0.4408332825,0.0195074901,0.03485609218,-0.009182969108,1
5.390313958,-3.896696777,8.995094604,-0.4454736328,0.007341047283,0.03484731913,-0.009534398094,1
5.410355958,-3.811972961,9.084458771,-0.5204676819,-0.01746730134,0.06075131148,-0.01706426591,1
5.430397958,-3.76182724,9.01200943,-0.4685256958,-0.007251262665,0.0159234181,0.003796752309,1
5.450439958,-3.650608521,9.026379547,-0.6322851562,0.01515707467,-0.008950070478,0.01968799904,1
5.470482958,-3.757336578,8.891360321,-0.5984555054,0.01401930954,-0.01914620213,-0.007851702161,1
5.490524958,-3.932173004,8.843310242,-0.4397854614,-0.01504249312,0.04796947166,-0.00805905275,1
5.510566958,-3.57696167,9.12427597,-0.3573069763,0.03054285794,0.04702233523,-0.0178619083,1
5.530608958,-3.742068329,9.007518768,-0.5342390442,0.04134273157,0.03591690958,-0.02084247954,1
5.550651208,-3.857628021,9.192833405,0.4872367859,0.09636981785,0.05319201946,-0.04685049132,1
5.570693208,-4.133204956,9.795629883,1.051413574,0.1317432821,-0.1794509292,0.02619867772,1
5.590736208,-4.531526642,10.23885818,-1.035845947,-0.07493193448,-0.328512013,0.1873556525,1
5.610778208,-5.071902924,9.786798248,-2.321372681,-0.2536756992,0.03845115378,0.2494319677,1
5.630820208,-4.155358887,8.608149261,-1.292562103,-0.1931221038,0.4453505576,0.08717656136,1
5.650862208,-3.062930603,6.359824677,0.4308041382,-0.3068180382,-0.9211988449,0.1399653405,1
5.670904208,-1.957329712,6.798562317,0.315693512,-0.2753907442,-0.169553414,0.01033008751,1
5.690947208,-3.460054779,8.769663391,0.2460882568,-0.03647702932,0.6929603219,-0.09816571325,1
5.710989208,-4.294868774,9.581425323,-0.4463717651,0.05859119073,0.3157250285,-0.06007634476,1
5.731031208,-4.541555786,9.303153992,-0.04580474854,0.1125720665,0.05686797947,0.06675296277,1
5.751073208,-4.49784668,8.731941833,0.773890686,0.2001253366,-0.1592586637,0.08379547298,1
5.771115208,-4.880001984,8.574768677,0.126486969,0.2066665739,-0.3942106664,0.07527775317,1
5.791158208,-4.152814178,8.440497894,0.3709286499,0.272742331,-0.2730174363,0.04271544144,1
5.811200208,-4.075125732,8.332572327,-0.3230282593,0.2596516907,0.0181585867,0.06418647617,1
5.831242208,-3.835773468,8.649014282,-1.184037781,0.1723063439,-0.00471946504,0.03506179899,1
5.851284208,-4.242178345,8.710835724,-1.403631134,-0.01589662582,-0.2375786453,0.08421186358,1
5.871326208,-3.714226227,8.477920074,-1.209784241,-0.08765791357,-0.393976897,0.008271310478,1
5.891369208,-3.257975006,8.965306549,-0.8002359009,-0.08821546286,-0.1783488542,-0.08187119663,1
5.911411208,-2.907254333,10.11416748,-0.167202301,0.0670819208,0.1542152911,-0.09315096587,1
5.931453208,-2.521207123,10.27912445,-0.2433938599,0.2919546664,0.03795013949,-0.1170759723,1
5.951495208,-1.824256439,9.276359711,-0.01960922241,0.4011898637,-0.2365109622,-0.1905924529,1
5.971537208,-1.847308502,9.148974609,0.6502478027,0.4317622483,-0.1378705055,-0.2350975126,1
5.991580208,-1.925595703,9.839488678,-0.4275109863,0.4343448877,-0.08723431081,-0.1765670925,1
6.011622208,-2.047741699,10.25352768,-0.4305047607,0.3241594732,0.06161667034,-0.03900505975,1
6.031664208,-1.888023834,9.449699249,0.6256988525,0.2554053664,0.06289985776,0.07727678865,1
6.051706208,-1.724264374,8.93357254,1.466500397,0.2213173062,-0.2980265319,0.1141110063,1
6.071748208,-1.863325195,9.224567413,1.436263275,0.2335125506,-0.3633879423,0.05439192057,1
6.091791208,-1.988764343,9.502988434,1.030756531,0.3270089328,-0.2858586013,-0.03909051791,1
6.111833208,-2.399659882,9.564809875,0.2124082947,0.272569567,-0.3551363349,-0.07540159672,1
6.131875208,-2.532583466,9.310488739,0.5013075256,0.1934668124,-0.4969896376,-0.08829507232,1
