time,seconds_elapsed,yaw,pitch,qy,qz,roll,qx,qw
1781039234627444200,3.0964443359375,1.8437440395355225,0.5390837788581848,0.0143640004098415,-0.6759340167045593,-0.6522325277328491,-0.3984760046005249,0.6197760105133057
1781039234647616500,3.116616455078125,1.843242645263672,0.5306115746498108,0.0113479997962713,-0.6776599884033203,-0.6509939432144165,-0.3960059881210327,0.6195369958877563
1781039234657687300,3.126687255859375,1.8435471057891848,0.5274311900138855,0.0100729996338486,-0.6783030033111572,-0.6513055562973022,-0.3953369855880737,0.6192820072174072
1781039234667758000,3.136758056640625,1.8441157341003416,0.524750828742981,0.0089349998161196,-0.6788610219955444,-0.6519710421562195,-0.3949080109596252,0.6189619898796082
1781039234677859300,3.146859375,1.8444520235061648,0.5222712755203247,0.0077900001779198,-0.679282009601593,-0.6527647376060486,-0.3945730030536651,0.61872798204422
1781039234687960600,3.156960693359375,1.8437349796295168,0.5185367465019226,0.0060290000401437,-0.6796680092811584,-0.6532962322235107,-0.3938460052013397,0.6187880039215088
1781039234708102100,3.17710205078125,1.8405705690383911,0.5240231156349182,0.0066030002199113,-0.6770420074462891,-0.6563206911087036,-0.3962189853191376,0.6201450228691101
1781039234718173000,3.1871728515625,1.8392428159713743,0.5346518754959106,0.0088649997487664,-0.6735460162162781,-0.6615007519721985,-0.4005559980869293,0.6211360096931458
1781039234738314800,3.207314697265625,1.8380521535873413,0.5656431913375854,0.015514999628067,-0.6636760234832764,-0.6780442595481873,-0.4135339856147766,0.6231229901313782
1781039234748385500,3.217385498046875,1.8393378257751465,0.5813538432121277,0.0186839997768402,-0.6587430238723755,-0.6882987022399902,-0.4206260144710541,0.6235229969024658
1781039234768557600,3.2375576171875,1.8436187505722048,0.602591335773468,0.0219240002334117,-0.6516180038452148,-0.7072626352310181,-0.4317289888858795,0.6233159899711609
1781039234778628400,3.24762841796875,1.8462709188461304,0.6111274361610413,0.0231509990990161,-0.6487810015678406,-0.715802013874054,-0.4364269971847534,0.6229580044746399
1781039234798831000,3.2678310546875,1.845786213874817,0.6265540719032288,0.0274700000882148,-0.6442220211029053,-0.7207978367805481,-0.441540002822876,0.6239110231399536
1781039234818972700,3.28797265625,1.83409583568573,0.6488305330276489,0.0358569994568824,-0.6373760104179382,-0.7132814526557922,-0.4443430006504059,0.6285079717636108
1781039234829043500,3.29804345703125,1.824311137199402,0.6617745161056519,0.0410239994525909,-0.6331040263175964,-0.705828070640564,-0.4450959861278534,0.6319680213928223
1781039234849185000,3.31818505859375,1.7992483377456665,0.6957318186759949,0.0549889989197254,-0.6221550107002258,-0.6853288412094116,-0.447035014629364,0.6403570175170898
1781039234869387500,3.338387451171875,1.7803205251693726,0.7497721314430237,0.077344998717308,-0.608020007610321,-0.6665632724761963,-0.4543359875679016,0.6464570164680481
1781039234879427800,3.348427734375,1.7758296728134155,0.7860837578773499,0.0917410030961036,-0.5992980003356934,-0.6614030003547668,-0.4612759947776794,0.6478019952774048
1781039234889529300,3.358529296875,1.7719367742538452,0.8317021131515503,0.1091089993715286,-0.5879259705543518,-0.658128559589386,-0.4707790017127991,0.6486939787864685
1781039234899600100,3.36860009765625,1.7669885158538818,0.8765706419944763,0.1255369931459427,-0.5758919715881348,-0.6558139324188232,-0.480320006608963,0.6495230197906494
1781039234909671000,3.3786708984375,1.7580605745315552,0.9224223494529724,0.1417859941720962,-0.5624529719352722,-0.651839017868042,-0.4897550046443939,0.6509079933166504
1781039234919772200,3.388772216796875,1.7437763214111328,0.9623126983642578,0.1555570065975189,-0.5494830012321472,-0.6441311240196228,-0.4972540140151977,0.6531509757041931
1781039234929873400,3.398873291015625,1.7150559425354004,1.0072001218795776,0.1708540022373199,-0.5330129861831665,-0.6256917715072632,-0.5042790174484253,0.6575769782066345
1781039234939975000,3.408974853515625,1.677159547805786,1.0438812971115112,0.1834840029478073,-0.517782986164093,-0.5984287261962891,-0.5085210204124451,0.6630529761314392
1781039234950045700,3.419045654296875,1.630347728729248,1.0766375064849854,0.1951230019330978,-0.5027989745140076,-0.5623916387557983,-0.5111820101737976,0.6691870093345642
1781039234960116500,3.429116455078125,1.578069090843201,1.1048915386199951,0.2055699974298477,-0.4886380136013031,-0.5204501748085022,-0.5127050280570984,0.6753559708595276
1781039234970187300,3.439187255859375,1.5190550088882446,1.1273919343948364,0.2143509984016418,-0.4752810001373291,-0.4721404314041137,-0.512848973274231,0.6820160150527954
1781039234980258000,3.449258056640625,1.4430969953536987,1.137797474861145,0.2200379967689514,-0.4628250002861023,-0.4088119864463806,-0.5089939832687378,0.6915929913520813
1781039235030673200,3.499673095703125,1.0422148704528809,1.1090648174285889,0.2393620014190673,-0.4090090095996856,-0.0614531077444553,-0.4694440066814422,0.7450090050697327
1781039235050845200,3.51984521484375,0.925528645515442,1.0926110744476318,0.2483649998903274,-0.3913820087909698,0.0431272350251674,-0.4565579891204834,0.7594000101089478
1781039235060916000,3.529916015625,0.878420889377594,1.0898356437683103,0.2534730136394501,-0.3834649920463562,0.0859739407896995,-0.4530900120735168,0.7638159990310669
1781039235141482200,3.610482177734375,0.4337306320667267,1.1098648309707642,0.3243040144443512,-0.3098059892654419,0.5235185623168945,-0.4496920108795166,0.7724130153656006
1781039235151583700,3.620583740234375,0.3597159683704376,1.1074061393737793,0.3367539942264557,-0.2980090081691742,0.5989058613777161,-0.4494479894638061,0.7718700170516968
1781039235161654500,3.630654541015625,0.2842800319194793,1.101329684257507,0.3496559858322143,-0.285647988319397,0.6759781837463379,-0.4486419856548309,0.771274983882904
1781039235201998800,3.670998779296875,-0.0129052316769957,1.0322877168655396,0.40727698802948,-0.22775599360466,0.982024312019348,-0.4378600120544433,0.7684590220451355
1781039235262545700,3.731545654296875,-0.2674221694469452,0.8230774402618408,0.478877991437912,-0.1281079947948455,1.22577965259552,-0.3945749998092651,0.7736750245094299
1781039235282687200,3.751687255859375,-0.3456099033355713,0.760296106338501,0.5015580058097839,-0.0934659987688064,1.2967097759246826,-0.3877789974212646,0.7676780223846436
1781039235292788500,3.76178857421875,-0.3978672325611114,0.7280759811401367,0.514028012752533,-0.0721620023250579,1.340879201889038,-0.3882240056991577,0.7614780068397522
1781039235302920400,3.77192041015625,-0.4443981349468231,0.7039602398872375,0.5232110023498535,-0.0539870001375675,1.3773099184036257,-0.3911060094833374,0.7552279829978943
1781039235313021700,3.782021728515625,-0.4995240867137909,0.6794672608375549,0.5319370031356812,-0.0331539995968341,1.4170371294021606,-0.3968290090560913,0.7473080158233643
1781039235323092500,3.792092529296875,-0.5619375705718994,0.6546093821525574,0.5397170186042786,-0.0100220004096627,1.4584832191467283,-0.4052790105342865,0.7378020286560059
1781039235333163300,3.802163330078125,-0.6182488799095154,0.6334266662597656,0.5453320145606995,0.0106469998136162,1.4934736490249634,-0.4141049981117248,0.7287070155143738
1781039235343234000,3.812234130859375,-0.6719314455986023,0.6129598617553711,0.5498960018157959,0.0304850004613399,1.525263786315918,-0.4230830073356628,0.7195019721984863
1781039235393588000,3.862587890625,-0.8578947186470032,0.5083839297294617,0.5670170187950134,0.1108539998531341,1.6247674226760864,-0.4495030045509338,0.6812840104103088
1781039235403658800,3.87265869140625,-0.8770191669464111,0.4892049133777618,0.5694959759712219,0.122479997575283,1.6322438716888428,-0.4503079950809479,0.6766790151596069
1781039235413760300,3.88276025390625,-0.8903810977935791,0.4715072512626648,0.5718449950218201,0.1323020011186599,1.636549949645996,-0.4497349858283996,0.6732209920883179
1781039235454104300,3.923104248046875,-0.8844784498214722,0.4146446287631988,0.5841670036315918,0.1512400060892105,1.6328532695770264,-0.4325850009918213,0.6698840260505676
1781039235494479000,3.96347900390625,-0.8099991083145142,0.379595547914505,0.5987600088119507,0.1434009969234466,1.609008550643921,-0.3990339934825897,0.6794790029525757
1781039235504611000,3.973611083984375,-0.7872902750968933,0.3741659224033355,0.601839005947113,0.1389960050582885,1.6017887592315674,-0.3901430070400238,0.6828299760818481
