"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-3.506250068E-4,5.321733398E0,8.141569519E0,8.364605713E-1
1.969237500E-2,5.217100983E0,8.370443573E0,1.023721161E0
3.973537499E-2,5.231171722E0,8.136180725E0,7.553292847E-1
5.977837500E-2,5.297783203E0,8.110583954E0,7.557783508E-1
7.982137499E-2,5.278323669E0,8.300089874E0,9.997709656E-1
9.986437500E-2,5.361550598E0,8.237969055E0,1.014590149E0
1.199073750E-1,5.322781219E0,8.252638550E0,9.530680847E-1
1.399513750E-1,5.313350830E0,8.338110809E0,1.117575989E0
1.599943750E-1,5.276377716E0,8.437803497E0,1.193168793E0
1.800373750E-1,5.257966003E0,8.350235596E0,8.818162537E-1
2.000803750E-1,5.222639465E0,8.241411896E0,8.414002991E-1
2.201233750E-1,5.223238220E0,8.226892090E0,8.213420105E-1
2.401663750E-1,5.163213043E0,8.208330688E0,8.713380432E-1
2.602093750E-1,5.335953827E0,8.321944427E0,9.804611206E-1
2.802523750E-1,5.213957520E0,8.635841675E0,1.140777740E0
3.002953750E-1,5.186714172E0,8.412356415E0,1.100661163E0
3.203383750E-1,5.235812073E0,8.310867462E0,8.864566040E-1
3.403813750E-1,5.183570709E0,8.116122437E0,9.238787842E-1
3.604243750E-1,5.245242462E0,8.032745819E0,8.559201050E-1
3.804673750E-1,5.411097565E0,8.237669678E0,1.002615051E0
4.005103750E-1,5.324577484E0,8.051756287E0,9.478289795E-1
4.205533750E-1,5.241500244E0,7.715256042E0,5.625302124E-1
4.405963750E-1,5.307662659E0,7.788154449E0,2.514770508E-1
4.606393750E-1,5.074747009E0,7.996970215E0,5.776487732E-1
4.806823750E-1,5.017266541E0,8.554111633E0,8.458909607E-1
5.007253750E-1,5.018464050E0,8.590036926E0,8.316705322E-1
5.207683750E-1,4.078119507E0,8.818761292E0,6.480024719E-1
5.408113750E-1,6.073170776E0,8.100405121E0,6.438111877E-1
5.608543750E-1,5.478607178E0,7.454498291E0,1.529369659E0
5.808973750E-1,3.870351563E0,2.995271301E0,-5.300477600E-1
6.009403750E-1,2.659519501E0,2.683020630E0,6.372248840E-1
