time,seconds_elapsed,qy,qx,yaw,qw,qz,roll,pitch
1781036515136329700,0.561329833984375,0.0528500005602836,-0.8620049953460693,3.121072292327881,0.4935329854488373,-0.1028549969196319,-2.8923428058624268,1.038664937019348
1781036515146461700,0.571461669921875,0.0592919997870922,-0.8636500239372253,-3.139770746231079,0.4897539913654327,-0.1036029979586601,-2.9038476943969727,1.0318262577056885
1781036515156593400,0.581593505859375,0.0660310015082359,-0.8653389811515808,-3.116608142852783,0.4857510030269623,-0.1042710021138191,-2.9158031940460205,1.024488925933838
1781036515176796200,0.601796142578125,0.0838730037212371,-0.8680999875068665,-3.0607545375823975,0.4772840142250061,-0.1075420007109642,-2.9397757053375244,1.009752631187439
1781036515186897400,0.6118974609375,0.0946279987692833,-0.8691340088844299,-3.0287044048309326,0.4728559851646423,-0.1098079979419708,-2.9521288871765137,1.0023386478424072
1781036515196998700,0.62199853515625,0.1069749966263771,-0.8694180250167847,-2.9942150115966797,0.4688639938831329,-0.1132809966802597,-2.962731122970581,0.9963882565498352
1781036515207100000,0.632099853515625,0.118485003709793,-0.8694000244140625,-2.962299108505249,0.4653449952602386,-0.1164349988102912,-2.9724462032318115,0.9912906885147096
1781036515217232000,0.64223193359375,0.1302450001239776,-0.8688899874687195,-2.9305062294006348,0.4622499942779541,-0.1199579983949661,-2.981090784072876,0.987291157245636
1781036515227363600,0.652363525390625,0.140841007232666,-0.8680030107498169,-2.902177333831787,0.4599420130252838,-0.1232369989156723,-2.988405227661133,0.9848257303237916
1781036515237495600,0.66249560546875,0.1512809991836547,-0.866562008857727,-2.874985933303833,0.4583429992198944,-0.1269029974937439,-2.9942803382873535,0.984076738357544
1781036515247596800,0.6725966796875,0.1610669940710067,-0.8647480010986328,-2.849946975708008,0.4573729932308197,-0.1306769996881485,-2.998870611190796,0.9847253561019896
1781036515257698000,0.682697998046875,0.169961005449295,-0.8627550005912781,-2.827549457550049,0.4568359851837158,-0.1344140022993087,-3.0022475719451904,0.9862551689147948
1781036515267799600,0.692799560546875,0.1787919998168945,-0.8600929975509644,-2.808988332748413,0.4566659927368164,-0.1404549926519394,-2.998476505279541,0.989542543888092
1781036515277900800,0.70290087890625,0.1817329972982406,-0.8571180105209351,-2.81824254989624,0.457491010427475,-0.1517339944839477,-2.9680967330932617,0.996174156665802
1781036515288032500,0.713032470703125,0.1783919930458068,-0.8539159893989563,-2.8578684329986572,0.4589959979057312,-0.1682980060577392,-2.908976793289185,1.00457501411438
1781036515298134000,0.723134033203125,0.1689610034227371,-0.8501039743423462,-2.9304773807525635,0.460671991109848,-0.1911959946155548,-2.8164093494415283,1.0119125843048096
1781036515308235300,0.7332353515625,0.1593440026044845,-0.8474770188331604,-2.989610433578491,0.4627250134944916,-0.2056130021810531,-2.750246047973633,1.0156514644622805
1781036515318367200,0.7433671875,0.1543720066547393,-0.8452500104904175,-3.021697521209717,0.4650180041790008,-0.2132579982280731,-2.7144010066986084,1.0197079181671145
