time,seconds_elapsed,y,z,x
1781214130849293000,2.87929296875,0.8906415104866028,1.1948524713516235,0.996932089328766
1781214130859333400,2.88933349609375,0.8943067193031311,1.1789699792861938,1.0115928649902344
1781214130869434600,2.8994345703125,0.8894197940826416,1.0897835493087769,0.9431759119033812
1781214130879505400,2.90950537109375,0.8393288254737854,0.9712757468223572,0.7574729323387146
1781214130889576200,2.919576171875,0.7318165898323059,0.8319984674453735,0.4764748811721802
1781214130899647000,2.92964697265625,0.608421802520752,0.6695083379745483,0.1270599663257599
1781214130909717800,2.9397177734375,0.4899139404296875,0.50335294008255,-0.2638937830924988
1781214130919819300,2.9498193359375,0.3677408695220947,0.3530801236629486,-0.6304129362106323
1781214130929920500,2.95992041015625,0.2382374405860901,0.1905899494886398,-0.9150761365890504
1781214130939960800,2.9699609375,0.0733038261532783,-0.0183259565383195,-1.1117748022079468
1781214130970234400,3.000234375,-0.4190535545349121,-0.6279694437980652,-1.330464482307434
1781214130980244000,3.010243896484375,-0.5229006409645081,-0.7782423496246338,-1.214400053024292
1781214130990314800,3.020314697265625,-0.6243042945861816,-0.9187413454055786,-1.1093312501907349
1781214131000416000,3.030416015625,-0.8784242272377014,-0.9590584635734558,-0.6401867866516113
1781214131020618800,3.05061865234375,-1.2791517972946167,-1.123992085456848,0.4789183437824249
1781214131030659000,3.0606591796875,-1.4147639274597168,-1.320690631866455,0.5913175344467163
1781214131040760300,3.07076025390625,-1.351233959197998,-1.3426817655563354,0.5192354321479797
1781214131050861600,3.080861572265625,-1.3768903017044067,-1.274264931678772,0.3188716471195221
1781214131060932600,3.0909326171875,-1.4721852540969849,-1.1435397863388062,0.197920337319374
1781214131071003400,3.10100341796875,-1.3732250928878784,-0.940732479095459,0.3115412890911102
1781214131081104600,3.111104736328125,-1.1557570695877075,-0.7147123217582703,0.588874101638794
1781214131091145000,3.12114501953125,-0.9321803450584412,-0.4801400899887085,0.7843509912490845
1781214131101246200,3.13124609375,-0.6817256212234497,-0.2052507251501083,0.7819074988365173
1781214131151630800,3.181630859375,0.5485569834709167,1.225395679473877,-0.1954768747091293
1781214131161732000,3.191732177734375,0.8686503767967224,1.5418238639831543,-0.0879645943641662
1781214131171803000,3.201802978515625,1.1447614431381226,1.8936822414398191,0.0757472887635231
1781214131181904100,3.211904052734375,1.4734070301055908,2.14902400970459,0.2052507251501083
1781214131262562000,3.29256201171875,3.595552921295166,3.2901201248168945,-0.5827654600143433
1781214131302936800,3.332936767578125,3.852116346359253,3.5100317001342773,-1.0103710889816284
1781214131313038000,3.3430380859375,3.8179078102111816,3.5552356243133545,-1.1276572942733765
1781214131323139600,3.3531396484375,3.676187038421631,3.545461893081665,-1.361007809638977
1781214131343342000,3.373342041015625,3.38297176361084,3.3768630027770996,-2.1930062770843506
1781214131353443600,3.383443603515625,3.193603515625,3.3145549297332764,-2.83074951171875
1781214131383716900,3.413716796875,2.355496406555176,3.2070424556732178,-4.781853199005127
1781214131393848800,3.423848876953125,1.9816468954086304,3.2339205741882324,-5.1410417556762695
