time,seconds_elapsed,qy,qx,yaw,qw,qz,roll,pitch
1781039347065825800,0.10282568359375,-0.10215400159358978,0.182886004447937,0.6362494826316833,0.9260950088500977,-0.3137910068035126,-0.08141341805458069,-0.41462817788124084
1781039347075927000,0.112927001953125,-0.10001099854707718,0.18602700531482697,0.6113094687461853,0.9295849800109863,-0.3020949959754944,-0.08057083934545517,-0.41838082671165466
1781039347086028300,0.1230283203125,-0.09984300285577774,0.18758200109004974,0.6121062636375427,0.9292259812355042,-0.302293986082077,-0.07914017885923386,-0.4213316738605499
1781039347096129500,0.133129638671875,-0.10058599710464478,0.18904000520706177,0.6123133301734924,0.9288169741630554,-0.3023970127105713,-0.07967494428157806,-0.4246489703655243
1781039347106200300,0.143200439453125,-0.10180699825286865,0.19070500135421753,0.6144513487815857,0.9280089735984802,-0.3034229874610901,-0.08060196042060852,-0.4287486672401428
1781039347116301800,0.1533017578125,-0.10256099700927734,0.1917870044708252,0.6187021732330322,0.9270709753036499,-0.3053469955921173,-0.08049681037664413,-0.4314999282360077
1781039347126403000,0.163403076171875,-0.10286600142717361,0.19111700356006622,0.6218663454055786,0.9266769886016846,-0.30685698986053467,-0.08080960065126419,-0.43051379919052124
1781039347136504300,0.17350439453125,-0.10291799902915955,0.19050100445747375,0.6221321225166321,0.926738977432251,-0.30703601241111755,-0.0812290608882904,-0.42935946583747864
1781039347146605800,0.183605712890625,-0.10296899825334549,0.19011099636554718,0.6222383975982666,0.9267839789390564,-0.3071250021457672,-0.08154354989528656,-0.42863795161247253
1781039347186919400,0.22391943359375,-0.10307499766349792,0.19053499400615692,0.621337890625,0.9268220067024231,-0.30671000480651855,-0.08168822526931763,-0.429495632648468
1781039347197020700,0.234020751953125,-0.10309799760580063,0.1905220001935959,0.6215072870254517,0.926796019077301,-0.30678999423980713,-0.08170437067747116,-0.42949196696281433
1781039347207122200,0.2441220703125,-0.10310900211334229,0.19064100086688995,0.6213108897209167,0.9268019795417786,-0.30669501423835754,-0.0816962793469429,-0.42972293496131897
1781039347217223400,0.254223388671875,-0.1039929986000061,0.19057999551296234,0.6299406290054321,0.9253910183906555,-0.3106690049171448,-0.0815800204873085,-0.43051275610923767
1781039347227263700,0.264263671875,-0.10436700284481049,0.1910800039768219,0.6331396698951721,0.924763023853302,-0.3121030032634735,-0.08130168914794922,-0.4318524897098541
1781039347247435800,0.284435791015625,-0.1098719984292984,0.19000700116157532,0.6901196837425232,0.9151409864425659,-0.338142991065979,-0.08016599714756012,-0.43572887778282166
1781039347257537000,0.294537109375,-0.10989999771118164,0.19105400145053864,0.6878645420074463,0.91531902551651,-0.33706098794937134,-0.08001285791397095,-0.43767717480659485
1781039347267607800,0.30460791015625,-0.11040499806404114,0.1914599984884262,0.690841794013977,0.9146779775619507,-0.33840399980545044,-0.0800543799996376,-0.43893036246299744
