"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.726702833E0,-6.538507342E-2,-3.616127968E-1,-8.830015361E-2
1.746744833E0,-6.747574359E-2,-5.194854140E-1,-1.056461632E-1
1.766786833E0,-1.269830167E-1,-5.732663870E-1,-1.409051865E-1
1.786829333E0,-1.749765575E-1,-6.353258491E-1,-1.379915625E-1
1.806871333E0,-1.683161259E-1,-5.702672601E-1,-1.270037740E-1
1.826913333E0,-1.563026160E-1,-5.656064749E-1,-1.152388901E-1
1.846955333E0,-6.363531947E-2,-5.133320689E-1,-5.920572579E-2
1.866997333E0,1.441609021E-2,-3.114818633E-1,-6.668803841E-2
1.887039333E0,-1.367654838E-2,-1.862991154E-1,-1.359883845E-1
1.907081333E0,-1.382417679E-1,-2.671837211E-1,-2.221294492E-1
1.927123333E0,-1.628111899E-1,-4.021943510E-1,-2.131473720E-1
1.947165333E0,-5.331596732E-2,-3.221659958E-1,-1.450026035E-1
1.967207333E0,1.234173682E-2,-2.414363921E-1,-7.790430635E-2
1.987249333E0,4.209728539E-2,-1.828151792E-1,-6.204501167E-2
2.007291333E0,-2.292152494E-2,-2.163224071E-1,-9.125930816E-2
2.027333333E0,-1.670706421E-1,-3.277091980E-1,-1.105826497E-1
2.047375333E0,-1.541307420E-1,-3.558389544E-1,-9.994336963E-2
2.067418333E0,-1.282224953E-1,-3.545204103E-1,-8.277858049E-2
2.087460333E0,-1.106014326E-1,-3.113540113E-1,-5.530968308E-2
2.107502333E0,-6.742446870E-2,-2.691265643E-1,-3.625878692E-2
2.127544333E0,-9.113042802E-2,-2.641471326E-1,-3.386042640E-2
2.147586333E0,-1.167398319E-1,-2.590478361E-1,-3.122417815E-2
2.167628333E0,-8.536458760E-2,-2.723639011E-1,-6.101739407E-2
2.187670333E0,-8.466538787E-2,-2.573904097E-1,-7.273118943E-2
2.207712333E0,-6.820917130E-2,-2.288842201E-1,-4.406552762E-2
2.227754333E0,-1.406525541E-2,-2.159095407E-1,-2.278955840E-2
2.247796333E0,7.460281253E-3,-1.870848238E-1,-2.277534641E-2
2.267838333E0,-2.105112001E-2,-1.773694754E-1,-4.214873165E-2
2.287880333E0,-4.097770154E-2,-1.858865023E-1,-5.862094089E-2
2.307922333E0,-5.393830687E-2,-1.894015521E-1,-5.693428963E-2
2.327964333E0,-4.620341212E-2,-1.724979579E-1,-4.891850799E-2
2.348006333E0,-4.211805016E-2,-1.384330243E-1,-4.714019597E-2
2.368048333E0,-3.891348466E-2,-1.113022864E-1,-4.680306464E-2
2.388090333E0,-1.477625500E-2,-9.504441172E-2,-4.349517822E-2
2.408132333E0,-8.711354807E-3,-8.647289127E-2,-4.206970707E-2
2.428174333E0,6.309136283E-3,-3.845608607E-2,-4.685151204E-2
2.448216333E0,9.350731969E-3,-3.656391054E-2,-5.144519731E-2
2.468258333E0,-2.217113273E-3,-6.252983958E-2,-5.569920689E-2
2.488300333E0,-1.458510291E-2,-5.774546042E-2,-6.192177907E-2
2.508342333E0,-1.742290333E-2,-5.618357286E-2,-5.344155431E-2
2.528384333E0,-5.677307025E-3,-4.615168646E-2,-4.489886388E-2
2.548426333E0,1.733622514E-3,-3.834248055E-3,-4.133164883E-2
2.568468333E0,2.195943380E-3,2.257633395E-2,-4.386733845E-2
2.588510333E0,7.418199442E-3,1.759297028E-2,-3.489841893E-2
2.608552333E0,1.323975064E-2,2.365094610E-2,-3.213212267E-2
2.628594333E0,2.681904845E-2,5.132088065E-2,-3.925032541E-2
2.648636333E0,3.003923222E-2,3.736491129E-2,-3.541616350E-2
2.668678333E0,6.380722672E-2,3.331331536E-2,-3.636476398E-2
2.688720333E0,9.304862469E-2,4.658896476E-2,-4.210573062E-2
2.708762333E0,1.134237349E-1,7.163007557E-2,-4.846463725E-2
2.728804333E0,1.319415420E-1,1.068077460E-1,-4.246480018E-2
2.748846333E0,1.426280886E-1,1.177428812E-1,-3.602552041E-2
2.768888333E0,1.307206154E-1,1.295243949E-1,-3.739109263E-2
2.788929625E0,8.485279232E-2,1.003795117E-1,-4.784790799E-2
2.808971625E0,7.658167928E-2,5.391438305E-2,-3.850848228E-2
2.829013625E0,9.944273531E-2,4.673533887E-2,-2.636695839E-2
2.849055625E0,9.772019833E-2,4.284845665E-2,-2.817497775E-2
2.869097625E0,7.706437260E-2,3.422020376E-2,-3.450839967E-2
2.889139625E0,6.017547473E-2,5.138392746E-2,-3.258786723E-2
2.909181625E0,6.454466283E-2,2.210352197E-2,-1.786341518E-2
2.929223625E0,6.438772380E-2,-5.862236489E-3,-1.108376682E-2
2.949265625E0,6.155718863E-2,-4.020000808E-3,-1.719806716E-2
2.969307625E0,5.264713243E-2,-1.529381610E-2,-2.647929452E-2
2.989349625E0,5.084915087E-2,-4.482150823E-2,-2.643460780E-2
3.009391625E0,4.141198099E-2,-5.330876261E-2,-2.060954459E-2
3.029433625E0,3.540455550E-2,-6.051433086E-2,-1.618075557E-2
3.049475625E0,3.265602887E-2,-5.419395491E-2,-5.273763090E-3
3.069517625E0,1.780976728E-2,-5.187518522E-2,1.929376856E-3
3.089559625E0,6.012245081E-3,-8.802658319E-2,6.184389349E-4
3.109601625E0,-1.742888242E-3,-9.989520162E-2,2.227597870E-4
3.129643625E0,1.231008209E-3,-8.730641007E-2,4.448937252E-3
3.149685625E0,1.639143750E-2,-7.203034312E-2,2.232837956E-3
3.169727625E0,2.529319376E-2,-6.094668061E-2,4.106522538E-3
3.189769625E0,3.089154698E-2,-4.593667388E-2,8.972398937E-3
3.209811625E0,2.667210251E-2,-5.215841904E-2,3.094827058E-3
3.229853625E0,1.111612935E-2,-6.059063971E-2,-7.059647236E-3
3.249895625E0,1.091773622E-2,-4.933616146E-2,-1.433990523E-2
3.269937625E0,8.298957720E-3,-4.111297056E-2,-1.031089108E-2
3.289979625E0,2.473346889E-2,-3.372446075E-2,-5.344112404E-3
3.310021625E0,2.963553742E-2,-1.051630732E-2,-3.796584206E-3
3.330063625E0,2.849797346E-2,1.017656922E-2,-3.071590327E-4
3.350105625E0,3.615162522E-2,2.259651013E-2,-3.229914000E-3
3.370147625E0,3.112324700E-2,3.762958199E-2,-7.837107405E-3
3.390189625E0,3.079270199E-2,5.224208534E-2,-1.246467605E-2
3.410231625E0,2.772487327E-2,4.285350069E-2,-1.488118060E-2
3.430273625E0,3.059267253E-2,3.661526367E-2,-8.563477546E-3
3.450315625E0,3.748253733E-2,7.092104107E-2,-2.661646344E-3
3.470357625E0,4.726740718E-2,7.888237387E-2,9.140989278E-4
3.490399625E0,4.860577732E-2,7.606834173E-2,1.951084705E-3
3.510441625E0,4.581044987E-2,9.548660368E-2,-3.673215397E-4
3.530483625E0,3.033143654E-2,7.755731046E-2,-2.134904731E-3
3.550525625E0,1.167744026E-2,4.013609141E-2,-3.865344217E-3
3.570567625E0,1.182085276E-2,4.981494322E-2,-3.984336741E-3
3.590609625E0,1.003420632E-2,4.231274873E-2,1.483957167E-3
3.610651625E0,2.283889614E-2,3.423914313E-2,2.986255335E-3
3.630693625E0,3.268693388E-2,4.640691355E-2,-7.655320223E-4
3.650735625E0,3.291661292E-2,4.359027743E-2,-7.054239046E-3
3.670777625E0,2.851261571E-2,4.006017745E-2,-1.905351691E-2
3.690819625E0,2.112639509E-2,4.258801416E-2,-1.844126917E-2
3.710861625E0,2.642024681E-2,2.330080979E-2,-7.397966925E-3
3.730903625E0,3.507883474E-2,9.816870093E-3,2.925424604E-3
3.750945625E0,2.925671265E-2,2.546230331E-2,-8.252449334E-6
3.770988625E0,1.319897547E-2,2.211599424E-2,-4.446319304E-3
3.791030625E0,8.278769441E-3,-2.325918060E-3,-7.226802874E-3
3.811072625E0,3.408655059E-3,-5.794175901E-3,-6.049212534E-3
3.831114625E0,4.991514608E-3,-2.402740344E-2,-4.523500800E-3
3.851156625E0,1.871170662E-2,-2.409088053E-2,-3.425569506E-3
3.871198625E0,1.819830947E-2,-1.347609982E-2,3.436864354E-4
3.891240625E0,2.485086443E-3,-2.497271262E-2,1.481810817E-3
3.911282625E0,-1.412965916E-2,-5.073228478E-2,3.958388232E-3
3.931324625E0,-1.866502315E-2,-3.893901035E-2,1.803624444E-3
3.951366625E0,-1.877953485E-2,-2.438511327E-2,-3.005942097E-3
3.971407625E0,-2.140711993E-2,-4.576783255E-2,-6.778560579E-3
3.991450625E0,-8.306384087E-3,-4.606298730E-2,-5.898033269E-3
4.011491625E0,2.735674148E-3,-2.335426025E-2,-9.786959738E-3
4.031533625E0,2.949379385E-3,-3.795673326E-2,-8.303942159E-3
4.051575625E0,-6.203141529E-4,-3.544140235E-2,1.569936168E-3
4.071617625E0,-3.220270853E-3,-2.526455559E-3,-1.211704221E-4
4.091659625E0,-1.850681379E-2,-6.130245514E-3,-3.103111871E-3
