"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.310950000E-2,5.645510101E0,7.765102386E0,2.812800751E0
3.315150000E-2,5.206024017E0,7.574698334E0,2.786754913E0
5.319350000E-2,5.762416992E0,7.444918213E0,2.302661591E0
7.323550000E-2,6.109994202E0,7.436685333E0,2.150877228E0
9.327750000E-2,6.163582764E0,7.508086853E0,2.124831390E0
1.133195000E-1,5.994883575E0,7.582182770E0,2.279759216E0
1.333615000E-1,5.719905396E0,7.789501648E0,2.802771606E0
1.534035000E-1,5.803431702E0,7.585475922E0,2.519261169E0
1.734455000E-1,5.857918396E0,7.421716461E0,2.339035950E0
1.934875000E-1,5.983058167E0,7.421566772E0,2.552042999E0
2.135295000E-1,5.927972717E0,7.465126190E0,2.465822296E0
2.335715000E-1,5.989195404E0,7.453300781E0,2.513423309E0
2.536135000E-1,5.856271820E0,7.496111755E0,2.484084320E0
2.736555000E-1,5.959706726E0,7.445217590E0,2.362237701E0
2.936975000E-1,5.881419525E0,7.436086578E0,2.389031982E0
3.137405000E-1,5.952521667E0,7.505841522E0,2.198777618E0
3.337825000E-1,5.943989410E0,7.447163544E0,2.059716797E0
3.538245000E-1,6.069278870E0,7.481292572E0,1.998045044E0
3.738665000E-1,5.878425751E0,7.754474487E0,2.612068176E0
3.939085000E-1,6.072122955E0,7.586224365E0,2.452350311E0
4.139505000E-1,6.078110504E0,7.452552338E0,2.783012695E0
4.339925000E-1,5.981860657E0,7.347470856E0,2.385439453E0
4.540345000E-1,6.038592682E0,7.256011047E0,2.392923889E0
4.740765000E-1,6.253545685E0,7.016359406E0,1.996847534E0
4.941185000E-1,5.733976135E0,6.888974304E0,2.106419678E0
5.141605000E-1,5.824537811E0,7.540269928E0,3.085832977E0
5.342025000E-1,5.771847382E0,7.552245026E0,2.603086853E0
5.542445000E-1,5.554349670E0,7.130721588E0,1.863923950E0
5.742865000E-1,5.903274078E0,6.588698730E0,1.564696198E0
5.943285000E-1,5.625302124E0,6.972949677E0,2.506687317E0
6.143705000E-1,5.830525360E0,7.340734863E0,2.546803894E0
6.344125000E-1,5.714815979E0,7.464078369E0,2.836451569E0
6.544545000E-1,6.083648987E0,7.664511566E0,3.498075714E0
6.744965000E-1,5.981411591E0,7.230713654E0,1.723216553E0
6.945385000E-1,5.472469940E0,7.158713379E0,1.332079926E0
7.145805000E-1,5.939798126E0,7.118596802E0,1.652264099E0
7.346225000E-1,5.763913879E0,6.269113312E0,1.151555328E0
7.546645000E-1,5.861061859E0,6.838828583E0,8.198451233E-1
7.747068333E-1,6.565047913E0,6.864575043E0,1.351689148E0
7.947488333E-1,6.562952271E0,6.951394501E0,1.262175293E0
8.147908333E-1,7.229216766E0,6.403982849E0,1.042132874E0
8.348328333E-1,6.763984222E0,6.745871887E0,1.378333740E0
8.548748333E-1,6.939120026E0,7.313042450E0,1.044976959E0
8.749168333E-1,7.907007294E0,7.226971436E0,1.769919434E0
8.949588333E-1,8.562194824E0,7.374564514E0,2.599494324E0
9.150008333E-1,7.663014679E0,6.632856903E0,1.951791229E0
9.350428333E-1,7.578590240E0,7.452103271E0,8.861572266E-1
9.550848333E-1,7.355254669E0,7.546407166E0,9.084608459E-1
9.751268333E-1,7.197183380E0,7.907905426E0,3.189866638E-1
9.951688333E-1,7.077282715E0,7.957302704E0,1.013242950E0
1.015210833E0,6.982829132E0,7.539820862E0,1.086291046E0
1.035252833E0,6.684499512E0,7.787855072E0,1.118174744E-1
1.055294833E0,6.882388000E0,7.479945374E0,1.047821045E-2
1.075336833E0,4.936434631E0,5.317242737E0,4.086502075E-2
1.095378833E0,6.615193634E0,7.424261169E0,-5.399272156E-1
1.115420833E0,6.690037994E0,7.670499115E0,-5.893244934E-1
1.135462833E0,4.865781555E0,6.352040863E0,4.968168640E-1
1.155504833E0,2.904260559E0,5.917644196E0,1.067579956E0
1.175546833E0,9.053173828E-1,5.528303833E0,6.256988525E-1
1.195588833E0,6.514453125E-1,1.039677979E1,-7.310797119E-1
1.215630833E0,1.341510315E0,1.539937683E1,-2.692301331E0
1.235672833E0,5.839955750E0,1.336869965E1,-1.011895752E-1
1.255714833E0,2.878813477E0,1.021116577E1,-9.075627136E-1
1.275757833E0,2.618953857E0,9.544302521E0,-1.286724243E0
1.295799833E0,3.425177307E0,9.248218231E0,-1.306932220E0
1.315841833E0,4.993765411E0,9.509425049E0,-1.055754547E0
1.335883833E0,3.759581909E0,1.010563522E1,-1.123413849E0
1.355925833E0,3.233126678E0,9.018745422E0,-1.337169342E0
1.375967833E0,2.710713043E0,9.361831970E0,-1.127605133E0
1.396009833E0,3.090323639E0,9.606872406E0,-1.426683197E0
1.416051833E0,2.999013519E0,9.897717590E0,-1.639241180E0
1.436093833E0,2.931503906E0,9.521549835E0,-1.197360077E0
1.456135833E0,2.192640381E0,9.461674347E0,-1.360969849E0
1.476177833E0,2.212548981E0,9.666298828E0,-1.338366852E0
1.496219833E0,2.431693268E0,1.023945694E1,-1.990859985E-1
1.516261833E0,3.356470184E0,1.003797592E1,-9.951306152E-1
1.536303833E0,4.163292389E0,8.724008331E0,-5.951623535E-1
1.556345833E0,2.862347717E0,8.341853027E0,-8.491841125E-1
1.576387833E0,2.339485016E0,9.251661072E0,-8.246351624E-1
1.596429833E0,2.490520935E0,9.121731262E0,-2.127076721E-1
