"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.904999995E-3,6.744230166E-3,1.758608073E-1,-1.539423466E-1
2.894700000E-2,2.576451898E-1,1.644572914E-1,-4.811387882E-2
4.899000000E-2,3.018314242E-1,6.717500091E-2,-6.101989001E-2
6.903200000E-2,4.177636802E-1,4.413640499E-2,-1.923046410E-1
8.907500000E-2,5.499646068E-1,4.573573545E-2,-3.100751638E-1
1.091180000E-1,5.240945816E-1,-7.693180442E-2,-2.864964604E-1
1.291600000E-1,4.505503476E-1,-2.887220681E-1,-2.140960246E-1
1.492030000E-1,3.666619658E-1,-5.517649651E-1,-3.481397629E-1
1.692450000E-1,4.708594084E-1,-7.783988714E-1,-7.956706285E-1
1.892880000E-1,4.892344773E-1,-7.028515339E-1,-1.364382386E0
2.093300000E-1,2.973367274E-1,-3.666723073E-1,-2.090191841E0
2.293730000E-1,2.640591860E-1,3.817653954E-1,-2.892292738E0
2.494160000E-1,6.567629576E-1,6.385731697E-1,-3.465054989E0
2.694580000E-1,5.531902909E-1,7.473608851E-2,-3.598773003E0
2.895010000E-1,4.645303786E-1,-6.146502122E-2,-3.372375488E0
3.095430000E-1,3.002409935E-1,-2.037020028E-1,-2.788567543E0
3.295860000E-1,3.031811118E-1,2.661559880E-1,-2.115076303E0
3.496280000E-1,-1.763174124E-2,2.515554905E0,-5.840528011E-1
3.696710000E-1,-7.147098333E-2,3.243473291E0,9.022338986E-1
3.897140000E-1,6.235575676E-1,5.027465224E-1,5.677552819E-1
4.097560000E-1,6.937397271E-2,-9.372299314E-1,1.177576333E-1
4.297990000E-1,-3.013307452E-1,-2.992225885E-1,2.313001081E-2
4.498410000E-1,2.073649168E-1,6.798990965E-1,-9.959898889E-4
4.698840000E-1,2.715055346E-1,6.437487602E-1,-1.077882014E-2
4.899270000E-1,1.047714576E-1,2.337250710E-1,-6.396758370E-3
5.099690000E-1,1.821773648E-1,3.461216688E-1,2.558002435E-2
5.300120000E-1,2.585880756E-1,4.962049127E-1,5.716347322E-2
5.500540000E-1,2.653381824E-1,4.427823722E-1,7.992205769E-2
5.700970000E-1,2.998081446E-1,4.363702834E-1,5.480772257E-2
5.901390000E-1,3.019933105E-1,4.859867990E-1,7.454773039E-2
6.101820000E-1,2.220615596E-1,4.945518076E-1,8.994874358E-2
6.302250000E-1,1.565404385E-1,4.898106456E-1,6.494436413E-2
6.502670000E-1,8.596727252E-2,4.403053522E-1,5.650332570E-2
6.703100000E-1,3.237596899E-2,3.371249139E-1,4.514800385E-2
6.903520000E-1,5.192386732E-2,3.193697333E-1,-2.902176976E-2
7.103950000E-1,9.397220612E-2,3.693003953E-1,-4.383430630E-2
7.304370000E-1,1.068888307E-1,3.042242527E-1,-2.117405832E-2
7.504800000E-1,8.806823939E-2,1.729681790E-1,1.284266263E-2
7.705230000E-1,3.295478225E-2,3.751564398E-2,5.514208972E-2
7.905650000E-1,7.806739770E-3,-1.284472048E-1,7.361458987E-2
8.106080000E-1,-1.498839445E-2,-3.196576238E-1,2.934264019E-2
8.306500000E-1,-9.777275473E-2,-3.580515981E-1,-6.007698551E-2
8.506930000E-1,-1.125744805E-1,-2.605718076E-1,-1.138251498E-1
8.707350000E-1,4.718713462E-3,-2.313709408E-1,-9.761261940E-2
8.907780000E-1,1.153091714E-1,-2.790675163E-1,-4.750970751E-2
9.108210000E-1,1.255933493E-1,-2.980065048E-1,-3.378400579E-2
9.308630000E-1,9.330330044E-2,-2.287342995E-1,-4.480265453E-2
9.509060000E-1,4.512290657E-2,-1.319177151E-1,-6.025988609E-2
9.709480000E-1,1.551008085E-3,-7.954987884E-2,-5.534983799E-2
9.909910000E-1,-1.506514475E-2,-6.922020018E-2,-3.771301359E-2
1.011033000E0,-2.643175423E-2,-1.193588898E-1,-1.766361296E-2
1.031075625E0,-3.662517294E-2,-1.377240568E-1,-4.544658586E-3
1.051118625E0,-5.488537252E-2,-1.008088291E-1,4.938271828E-3
1.071160625E0,-5.893018469E-2,-9.983728081E-2,5.233194679E-3
1.091203625E0,-2.887525037E-2,-7.813277841E-2,-5.377681926E-3
1.111245625E0,1.192313735E-3,-4.337075725E-2,-1.722008176E-2
1.131288625E0,3.665337339E-3,-4.769858345E-2,-1.562129706E-2
1.151330625E0,6.077395752E-3,-5.123891309E-2,-2.248059027E-2
1.171373625E0,1.233196724E-2,-3.884438053E-2,-3.538004309E-2
1.191416625E0,1.469950471E-2,-3.426887095E-2,-5.564545095E-2
1.211458625E0,4.216794670E-2,-3.738594800E-2,-5.504928529E-2
1.231501625E0,4.144572467E-2,-3.649846837E-2,-4.993648082E-2
1.251543625E0,3.192962334E-2,-1.334920712E-2,-5.945936218E-2
1.271586625E0,2.894533239E-2,-2.453966066E-2,-5.794106424E-2
1.291628625E0,4.422830418E-2,-5.591097102E-2,-5.271545053E-2
1.311671625E0,5.948995799E-2,-2.752844803E-2,-6.122639403E-2
1.331714625E0,5.520959944E-2,2.559567336E-3,-7.265961915E-2
1.351756625E0,5.946010351E-2,-2.152206562E-2,-7.426209748E-2
1.371799625E0,7.345447689E-2,-4.090345278E-2,-7.685989141E-2
1.391841625E0,7.231000066E-2,-4.206519574E-2,-7.403512299E-2
1.411884625E0,7.369552553E-2,-7.283045352E-2,-7.427573949E-2
1.431926625E0,7.154628634E-2,-8.512321860E-2,-7.774944603E-2
1.451969625E0,5.794791132E-2,-8.750972152E-2,-7.100363821E-2
1.472011625E0,5.861538276E-2,-9.329311550E-2,-5.764962733E-2
1.492054625E0,5.638818815E-2,-9.226959199E-2,-5.420286953E-2
1.512097625E0,4.082450271E-2,-6.441847980E-2,-5.373222008E-2
1.532139625E0,3.628437966E-2,-5.395750329E-2,-3.766702116E-2
1.552182625E0,3.424908966E-2,-3.072926588E-2,-3.738676012E-2
1.572224625E0,3.601120412E-2,6.661823951E-3,-2.574803680E-2
1.592267625E0,4.277465492E-2,-4.823024385E-3,-1.169473305E-2
1.612309625E0,4.289605096E-2,-2.916233428E-2,-2.637355821E-3
1.632352625E0,1.358700637E-2,-1.222535782E-2,-9.673653170E-3
1.652395625E0,2.861612011E-3,-9.147426113E-3,-9.375679307E-3
1.672437625E0,1.029283926E-2,-2.479878068E-2,-1.440784894E-2
1.692480625E0,8.070788346E-3,-1.324595138E-2,-1.402428187E-2
1.712522625E0,-1.476530079E-2,9.539749473E-3,-4.344995134E-3
1.732565625E0,-7.083396427E-3,-2.293168800E-3,-8.480264805E-4
1.752607625E0,6.798522081E-3,-1.005202252E-2,1.471857913E-2
1.772650625E0,1.018078253E-2,-2.028000541E-2,1.300247572E-2
1.792693625E0,4.699305631E-3,1.534970384E-2,-3.472592914E-3
1.812735625E0,-1.038961811E-3,2.446612157E-2,-2.661358798E-3
1.832778625E0,9.055716917E-3,2.686688118E-2,-6.724488921E-3
1.852820625E0,1.225616690E-2,4.688061774E-2,-7.353366353E-3
1.872863625E0,1.667308621E-2,5.432216823E-2,-8.880543523E-3
1.892905625E0,1.204986311E-2,7.074683905E-2,-1.112805959E-2
1.912948625E0,-5.247038789E-3,7.064156234E-2,-8.018812165E-3
1.932990625E0,-2.558482112E-3,7.238008082E-2,-4.150619730E-3
1.953033625E0,1.362098847E-3,7.515258342E-2,-4.032999277E-4
1.973076625E0,5.938865710E-3,6.621672958E-2,-2.163317986E-4
1.993118625E0,5.218531005E-3,7.792010158E-2,-9.245335124E-3
2.013161625E0,2.895870944E-3,8.216996491E-2,-9.469908662E-3
2.033203875E0,-4.921363201E-3,4.997266084E-2,1.535214949E-3
2.053246875E0,-6.079193205E-3,5.274851248E-2,9.208765812E-3
2.073288875E0,-7.396488450E-3,4.694575071E-2,1.490238961E-2
