time,seconds_elapsed,z,y,x
1781033166695028700,0.09702880859375,5.541149139404297,-3.4690210819244385,-7.300792217254639
1781033167042913300,0.444913330078125,5.5051589012146,-3.405958890914917,-7.3574910163879395
1781033167052665300,0.454665283203125,5.4825239181518555,-3.37273907661438,-7.389624118804932
1781033167072173800,0.474173828125,5.4530839920043945,-3.3324930667877197,-7.429559230804443
1781033167091682300,0.493682373046875,5.4160990715026855,-3.2844278812408447,-7.477859973907471
1781033167111192600,0.513192626953125,5.376175880432129,-3.2350881099700928,-7.52800989151001
1781033167130702000,0.5327021484375,5.332403182983398,-3.1839070320129395,-7.580779075622559
1781033167150207700,0.552207763671875,5.283276081085205,-3.130450963973999,-7.637228965759277
1781033167169716700,0.571716796875,5.228190898895264,-3.074847936630249,-7.697488784790039
1781033167189227000,0.59122705078125,5.167297840118408,-3.0170300006866455,-7.761220932006836
1781033167208740900,0.610740966796875,5.10073184967041,-2.9568259716033936,-7.828135013580322
1781033167228254200,0.630254150390625,5.0290679931640625,-2.8931450843811035,-7.897986888885498
1781033167247763000,0.649762939453125,4.952188014984131,-2.824467897415161,-7.971086025238037
1781033167267273700,0.669273681640625,4.869743824005127,-2.749735116958618,-8.04764175415039
1781033167286787800,0.688787841796875,4.781006813049316,-2.6681768894195557,-8.127902030944824
1781033167306300400,0.708300537109375,4.685005187988281,-2.579598903656006,-8.211965560913086
1781033167325811700,0.727811767578125,4.580833911895752,-2.483798027038574,-8.29980182647705
1781033167345320000,0.74731982421875,4.467117786407471,-2.3805899620056152,-8.391521453857422
1781033167364827000,0.766826904296875,4.343192100524902,-2.2700860500335693,-8.486659049987793
1781033167384338000,0.786337890625,4.209465980529785,-2.152527093887329,-8.584115028381348
1781033167403851300,0.805851318359375,4.06777286529541,-2.0282669067382812,-8.682127952575684
1781033167423366000,0.825365966796875,3.920551061630249,-1.898056983947754,-8.778761863708496
1781033167442880500,0.844880615234375,3.7702810764312744,-1.763053059577942,-8.872239112854004
1781033167462395100,0.86439501953125,3.6187069416046143,-1.6253689527511597,-8.961201667785645
1781033167481910800,0.883910888671875,3.4663660526275635,-1.4875550270080566,-9.04496955871582
1781033167501424600,0.903424560546875,3.3132200241088867,-1.351539969444275,-9.123372077941895
1781033167520937200,0.922937255859375,3.1583309173583984,-1.2190020084381104,-9.196682929992676
1781033167540447200,0.942447265625,3.001504898071289,-1.0904669761657715,-9.265088081359863
1781033167559956200,0.961956298828125,2.841952085494995,-0.9663479924201965,-9.328959465026855
1781033167579468300,0.98146826171875,2.6870501041412354,-0.854341983795166,-9.385619163513184
1781033167598982000,1.00098193359375,2.5386428833007812,-0.7537000179290771,-9.435423851013184
1781033167618495000,1.020494873046875,2.5386428833007812,-0.7537000179290771,-9.435423851013184
1781033167638004500,1.04000439453125,2.3988308906555176,-0.6631619930267334,-9.478702545166016
1781033167657509400,1.05950927734375,2.2694289684295654,-0.5813350081443787,-9.515868186950684
1781033167677015800,1.079015869140625,2.151339054107666,-0.507673978805542,-9.547460556030273
1781033167696525300,1.098525390625,2.045530080795288,-0.44186100363731384,-9.573951721191406
1781033167716036400,1.118036376953125,1.8526209592819214,-0.30983400344848633,-9.618305206298828
1781033167735548000,1.1375478515625,1.8526209592819214,-0.30983400344848633,-9.618305206298828
1781033167755057000,1.157056884765625,1.8526209592819214,-0.30983400344848633,-9.618305206298828
1781033167774564000,1.176564208984375,1.6867189407348633,-0.17872899770736694,-9.652100563049316
1781033167794072600,1.196072509765625,1.6137629747390747,-0.1149590015411377,-9.665534973144531
1781033167813577500,1.215577392578125,1.5475239753723145,-0.05318399891257286,-9.676897048950195
1781033167833085000,1.2350849609375,1.4875080585479736,0.005834000185132027,-9.68644905090332
1781033167852595500,1.254595458984375,1.4329890012741089,0.06134499981999397,-9.69447135925293
1781033167872103000,1.27410302734375,1.3831490278244019,0.11211899667978287,-9.701253890991211
1781033167891609600,1.293609619140625,1.3387709856033325,0.15705199539661407,-9.706853866577148
1781033167911119600,1.31311962890625,1.300915002822876,0.1952120065689087,-9.711307525634766
1781033167930635500,1.332635498046875,1.2709059715270996,0.22589899599552155,-9.714615821838379
1781033167950153500,1.352153564453125,1.2505429983139038,0.24860399961471558,-9.716704368591309
1781033167969666300,1.371666259765625,1.2413979768753052,0.2635819911956787,-9.71748161315918
1781033167989179000,1.391178955078125,1.2436130046844482,0.27207300066947937,-9.716964721679688
1781033168008690400,1.4106904296875,1.2550820112228394,0.27592501044273376,-9.715381622314453
1781033168028197000,1.430197021484375,1.272236943244934,0.27738600969314575,-9.71310806274414
1781033168047702000,1.449701904296875,1.2907860279083252,0.27821800112724304,-9.710636138916016
1781033168067213300,1.46921337890625,1.307453989982605,0.27983400225639343,-9.708359718322754
1781033168086727700,1.488727783203125,1.3212050199508667,0.2829959988594055,-9.706406593322754
1781033168106238200,1.50823828125,1.3326460123062134,0.28768500685691833,-9.704704284667969
1781033168125748500,1.52774853515625,1.3437420129776,0.29354000091552734,-9.702999114990234
1781033168145260300,1.54726025390625,1.356153964996338,0.2998349964618683,-9.701079368591309
1781033168164772400,1.5667724609375,1.3713929653167725,0.30649998784065247,-9.698728561401367
1781033168184282600,1.58628271484375,1.3894269466400146,0.31385698914527893,-9.695926666259766
1781033168203791600,1.60579150390625,1.4080619812011719,0.3224030137062073,-9.692956924438477
1781033168223305000,1.625304931640625,1.4244869947433472,0.33207398653030396,-9.690230369567871
