time,seconds_elapsed,z,y,x
1781215160646270700,0.825270751953125,0.0916764885187149,-8.460583686828613,-4.957874298095703
1781215160656311000,0.83531103515625,0.5921809673309326,-8.234261512756348,-5.293075084686279
1781215160706726100,0.88572607421875,2.800546884536743,-6.220521926879883,-7.045029163360596
1781215160716827400,0.895827392578125,2.9379451274871826,-6.0018744468688965,-7.177491664886475
1781215160726928600,0.9059287109375,3.1845033168792725,-5.542729377746582,-7.436899185180664
1781215160736969000,0.915968994140625,3.3643550872802734,-5.080379486083984,-7.683829307556152
1781215160747070500,0.926070556640625,3.4786217212677,-4.631880283355713,-7.912980556488037
1781215160757141200,0.936141357421875,3.504189729690552,-4.238240718841553,-8.11962890625
1781215160767242500,0.946242431640625,3.3978559970855713,-3.818098783493042,-8.369413375854492
1781215160797485300,0.9764853515625,3.076465606689453,-3.371474027633667,-8.679798126220703
1781215160807556000,0.98655615234375,2.9207980632781982,-3.259434461593628,-8.775843620300293
1781215160817627000,0.996626953125,2.677877187728882,-3.153761386871338,-8.891183853149414
1781215160827728400,1.006728271484375,2.516695976257324,-3.1175546646118164,-8.950838088989258
1781215160837799200,1.016799072265625,2.363271713256836,-3.107102394104004,-8.996179580688477
1781215160847839500,1.026839599609375,2.2218384742736816,-3.119014024734497,-9.028043746948242
1781215160867981000,1.04698095703125,1.974283456802368,-3.2146477699279785,-9.051997184753418
1781215160878021400,1.057021484375,1.922836184501648,-3.260969877243042,-9.046499252319336
1781215160888122600,1.06712255859375,1.8336150646209717,-3.3543853759765625,-9.030855178833008
1781215160908294700,1.087294677734375,1.6909929513931274,-3.619831085205078,-8.955877304077148
1781215160918335000,1.0973349609375,1.676708698272705,-3.676543951034546,-8.935439109802246
1781215160928405800,1.10740576171875,1.6708011627197266,-3.782018661499023,-8.892420768737793
1781215160938507000,1.117507080078125,1.6939043998718262,-3.885448694229126,-8.843323707580566
1781215160948608500,1.1276083984375,1.7382076978683472,-3.9855005741119385,-8.790040969848633
1781215160958709800,1.137709716796875,1.8196958303451536,-4.092827320098877,-8.723981857299805
1781215160968780500,1.147780517578125,1.8920918703079224,-4.190035820007324,-8.662216186523438
1781215160978881800,1.1578818359375,1.9614511728286743,-4.355823516845703,-8.564456939697266
1781215160988983300,1.1679833984375,1.980210304260254,-4.426246643066406,-8.523937225341797
1781215160999054000,1.17805419921875,2.0036978721618652,-4.586985111236572,-8.43298053741455
1781215161009094400,1.188094482421875,2.077061176300049,-4.817852973937988,-8.285196304321289
1781215161019195600,1.198195556640625,2.118696928024292,-4.885650157928467,-8.2347993850708
1781215161029266400,1.208266357421875,2.318082809448242,-4.981230735778809,-8.123065948486328
1781215161039367700,1.21836767578125,2.460780143737793,-5.011509418487549,-8.062239646911621
1781215161049469000,1.228468994140625,2.5227060317993164,-5.0201287269592285,-8.037701606750488
1781215161059540000,1.2385400390625,2.6273550987243652,-5.074560165405273,-7.969708442687988
1781215161079681500,1.258681640625,2.8133583068847656,-5.189110279083252,-7.8312530517578125
1781215161089752300,1.26875244140625,2.8236026763916016,-5.255674839019775,-7.783029079437256
1781215161099853600,1.278853515625,2.8161327838897705,-5.294463157653809,-7.759410858154297
1781215161109863400,1.288863525390625,2.763204336166382,-5.360705852508545,-7.732912540435791
1781215161119964700,1.298964599609375,2.6762728691101074,-5.429875373840332,-7.715207576751709
1781215161130066000,1.30906591796875,2.485978364944458,-5.545207500457764,-7.6968159675598145
1781215161140136700,1.31913671875,2.334641218185425,-5.624472141265869,-7.686686038970947
1781215161150146600,1.329146484375,2.182309865951538,-5.688207149505615,-7.684544086456299
1781215161160217300,1.33921728515625,2.034325122833252,-5.729204177856445,-7.694681167602539
1781215161190399200,1.369399169921875,1.777834177017212,-5.707552433013916,-7.773900985717773
1781215161200500500,1.37950048828125,1.7418237924575806,-5.659014701843262,-7.8174147605896
1781215161210601700,1.389601806640625,1.7029361724853516,-5.613084316253662,-7.858987331390381
1781215161220703200,1.399703125,1.6615546941757202,-5.580098628997803,-7.891268730163574
1781215161230774000,1.40977392578125,1.6117762327194214,-5.5542449951171875,-7.919780731201172
1781215161240875300,1.419875244140625,1.582137942314148,-5.544128894805908,-7.932835578918457
1781215161250976500,1.4299765625,1.510847091674805,-5.533778667449951,-7.9539313316345215
1781215161281219600,1.460219482421875,1.1548612117767334,-5.58400297164917,-7.978446960449219
1781215161301391600,1.4803916015625,1.03610360622406,-5.6309614181518555,-7.961730480194092
1781215161311462400,1.49046240234375,1.004672288894653,-5.637476444244385,-7.9611496925354
1781215161321563600,1.500563720703125,0.995290994644165,-5.617372512817383,-7.976524829864502
1781215161331634700,1.510634765625,0.9432922601699828,-5.600359916687012,-7.994784355163574
1781215161341674800,1.5206748046875,0.9162185192108154,-5.598646640777588,-7.999131202697754
1781215161351776300,1.5307763671875,0.8280966877937317,-5.614322185516357,-7.997751235961914
1781215161361877500,1.54087744140625,0.7200769186019897,-5.642194747924805,-7.988588333129883
1781215161392120300,1.571120361328125,0.3691667914390564,-5.746406555175781,-7.938070297241211
1781215161402221800,1.581221923828125,0.337450623512268,-5.770084381103516,-7.922286510467529
1781215161412323000,1.591322998046875,0.3364385366439819,-5.773677825927734,-7.919713020324707
1781215161422424300,1.60142431640625,0.3427450954914093,-5.770199298858643,-7.921977996826172
1781215161432525600,1.611525634765625,0.3415079414844513,-5.7663960456848145,-7.92479944229126
1781215161442596600,1.6215966796875,0.3137187361717224,-5.7731146812438965,-7.921056270599365
1781215161452697900,1.63169775390625,0.2109896093606948,-5.809096336364746,-7.898118495941162
1781215161462799000,1.641799072265625,0.16887728869915,-5.834029674530029,-7.880735397338867
1781215161482971100,1.66197119140625,-0.0176529996097087,-5.902711868286133,-7.8312249183654785
1781215161493072600,1.67207275390625,-0.0775328874588012,-5.918822765350342,-7.818689346313477
1781215161503143400,1.682143310546875,-0.1074398010969162,-5.922480583190918,-7.815567493438721
1781215161513244700,1.69224462890625,-0.1736488938331604,-5.923883438110352,-7.813313961029053
1781215161523346000,1.702345947265625,-0.2930670082569122,-5.9091620445251465,-7.820888996124268
1781215161533447400,1.712447509765625,-0.4051116704940796,-5.910712718963623,-7.814713001251221
1781215161543548700,1.722548583984375,-0.6107103824615479,-5.913710117340088,-7.799066543579102
1781215161553650000,1.73264990234375,-0.6758952140808105,-5.919249057769775,-7.789484024047852
1781215161563782000,1.742781982421875,-0.8335667848587036,-5.933217525482178,-7.763537883758545
1781215161583984400,1.762984375,-0.9401289224624634,-6.011250019073486,-7.69099760055542
1781215161594055200,1.77305517578125,-1.037503361701965,-6.0904927253723145,-7.615763664245605
1781215161604156400,1.783156494140625,-1.1158499717712402,-6.139880180358887,-7.564862728118896
1781215161614227500,1.7932275390625,-1.202653408050537,-6.173792839050293,-7.523846626281738
1781215161624328700,1.80332861328125,-1.2440613508224487,-6.190938949584961,-7.502998352050781
1781215161634430000,1.813429931640625,-1.2819161415100098,-6.229948997497559,-7.464238166809082
1781215161644531200,1.82353125,-1.2670294046401978,-6.251636028289795,-7.448628425598144
1781215161654632700,1.8336328125,-1.1465082168579102,-6.307051658630371,-7.421388626098633
1781215161664703500,1.843703369140625,-0.9501202702522278,-6.356721878051758,-7.406736373901367
1781215161684906000,1.863906005859375,-0.3128239214420318,-6.432496547698975,-7.3956427574157715
1781215161705139200,1.88413916015625,0.0532114394009113,-6.45254373550415,-7.384593486785889
1781215161715240400,1.894240478515625,0.3383327424526214,-6.454806804656982,-7.375051498413086
1781215161725342000,1.904342041015625,0.4217155873775482,-6.455953598022461,-7.369749069213867
1781215161735443200,1.914443115234375,0.6151973605155945,-6.45777702331543,-7.354524612426758
1781215161745544400,1.92454443359375,0.6761727929115295,-6.475047588348389,-7.333958148956299
1781215161755645700,1.934645751953125,0.7914652228355408,-6.52346134185791,-7.279314041137695
1781215161765747200,1.944747314453125,0.9463440179824828,-6.533398628234863,-7.251862525939941
1781215161775848400,1.954848388671875,0.9988290667533876,-6.541441917419434,-7.23755931854248
1781215161796051000,1.975051025390625,1.279948592185974,-6.5490217208862305,-7.186265468597412
1781215161806152400,1.98515234375,1.3348499536514282,-6.558762550354004,-7.1673712730407715
1781215161816223200,1.99522314453125,1.4910496473312378,-6.590588569641113,-7.107130527496338
1781215161836456400,2.01545654296875,1.655121922492981,-6.6808013916015625,-6.985546588897705
1781215161846557700,2.0255576171875,1.686396837234497,-6.710347652435303,-6.949655532836914
1781215161856659000,2.035658935546875,1.7471967935562134,-6.810115814208984,-6.836667537689209
1781215161866760200,2.04576025390625,1.7604215145111084,-6.847568035125732,-6.795742988586426
1781215161876861700,2.05586181640625,1.7797574996948242,-6.975339412689209,-6.659391403198242
1781215161902099700,2.081099609375,1.7636290788650513,-7.22511625289917,-6.392003536224365
