time,seconds_elapsed,qy,qx,yaw,qw,qz,roll,pitch
1781219389038000000,4.762000244140625,0.2047770023345947,-0.6446920037269592,1.6208248138427734,0.6742939949035645,-0.2962499856948852,-0.8947830200195312,1.4347078800201416
1781219389058172200,4.782172119140625,0.2055969983339309,-0.6430190205574036,1.5429743528366089,0.6778939962387085,-0.2910580039024353,-0.8236938714981079,1.4401564598083496
1781219389078252800,4.802252685546875,0.2118889987468719,-0.6379590034484863,1.313753366470337,0.6855270266532898,-0.279574990272522,-0.6026425957679749,1.4537171125411987
1781219389088323600,4.812323486328125,0.2129479944705963,-0.636335015296936,1.2319228649139404,0.6883010268211365,-0.275628000497818,-0.5252150893211365,1.455571174621582
1781219389098394400,4.822394287109375,0.2128819972276687,-0.6394569873809814,1.255927801132202,0.6865469813346863,-0.2728149890899658,-0.5537137985229492,1.4629416465759275
1781219389108465200,4.832465087890625,0.2146749943494796,-0.6440079808235168,1.289857268333435,0.6833699941635132,-0.2686479985713959,-0.5914722681045532,1.476267695426941
1781219389118536000,4.842535888671875,0.2187010049819946,-0.6468139886856079,1.2472676038742063,0.6817539930343628,-0.2626999914646148,-0.5520154237747192,1.491296410560608
1781219389128607000,4.85260693359375,0.2234230041503906,-0.6452839970588684,1.033505082130432,0.6843860149383545,-0.2555490136146545,-0.3420155048370361,1.4991949796676636
1781219389138677800,4.862677734375,0.2266670018434524,-0.6397690176963806,0.7500302791595459,0.69097501039505,-0.2487359941005706,-0.063812032341957,1.4918999671936035
1781219389148779000,4.872779052734375,0.2268220037221908,-0.6329749822616577,0.5882145166397095,0.6989700198173523,-0.243584007024765,0.0907667279243469,1.4744412899017334
1781219389219183000,4.94318310546875,0.2229840010404586,-0.6238939762115479,0.3659354746341705,0.7138810157775879,-0.22673299908638,0.2826609015464782,1.4433345794677734
1781219389229254000,4.95325390625,0.2199739962816238,-0.6193240284919739,0.3858924806118011,0.7188959717750549,-0.2263530045747757,0.2579406797885895,1.4295598268508911
1781219389259558000,4.983557861328125,0.2139260023832321,-0.6148620247840881,0.4316155612468719,0.7244920134544373,-0.2264720052480697,0.2037307322025299,1.4145715236663818
1781219389279699500,5.003699462890625,0.2167879939079284,-0.6121079921722412,0.3559678792953491,0.7275369763374329,-0.2213910073041916,0.2762565314769745,1.4072260856628418
1781219389289770200,5.013770263671875,0.2178830057382583,-0.6114310026168823,0.3199115693569183,0.7286580204963684,-0.2184830009937286,0.3096752464771271,1.4048086404800415
1781219389299841000,5.023841064453125,0.2181620001792907,-0.6111800074577332,0.3006994724273681,0.7293369770050049,-0.2166330069303512,0.3265784084796905,1.403475642204285
1781219389309942300,5.0339423828125,0.2178699970245361,-0.6100379824638367,0.289188414812088,0.7308400273323059,-0.2150759994983673,0.3354371786117553,1.399693489074707
1781219389330083800,5.054083740234375,0.2165050059556961,-0.6067039966583252,0.2856064140796661,0.734512984752655,-0.2133660018444061,0.3347163796424866,1.389737248420715
