time,seconds_elapsed,qy,qx,yaw,qw,qz,roll,pitch
1781217722354467800,3.7244677734375,-0.0179680008441209,-0.4929879903793335,2.9472734928131104,0.1012369990348815,-0.8639389872550964,-1.0303739309310913,0.0688250586390495
1781217722364569000,3.734569091796875,-0.0175930000841617,-0.5004680156707764,2.9525487422943115,0.0987690016627311,-0.8599219918251038,-1.0476340055465698,0.0686581656336784
1781217722374639900,3.744639892578125,-0.0190430004149675,-0.5088419914245605,2.9581987857818604,0.095051996409893,-0.8553839921951294,-1.0673713684082031,0.0641988292336463
1781217722384741000,3.7547412109375,-0.018843000754714,-0.5190389752388,2.9660089015960693,0.0910819992423057,-0.8496739864349365,-1.0912346839904783,0.062570221722126
1781217722394781400,3.764781494140625,-0.018605999648571,-0.5288670063018799,2.973092555999756,0.0875080004334449,-0.8439750075340271,-1.1143819093704224,0.0611923709511756
1781217722404852200,3.774852294921875,-0.0154740000143647,-0.5382720232009888,2.981364488601685,0.0850149989128112,-0.8383280038833618,-1.1362992525100708,0.0656249076128006
1781217722414953500,3.784953369140625,-0.0115320002660155,-0.5453879833221436,2.9882490634918213,0.0838019996881485,-0.8339030146598816,-1.1528362035751345,0.0722388848662376
1781217722424993800,3.794993896484375,-0.0070890001952648,-0.5503360033035278,2.9941248893737793,0.0834560021758079,-0.8307309746742249,-1.1642600297927856,0.0801654234528541
1781217722435064600,3.805064697265625,-0.0024160000029951,-0.5527690052986145,2.9988863468170166,0.0838200002908706,-0.8291040062904358,-1.1697096824645996,0.0887765288352966
1781217722445135400,3.81513525390625,0.0019869999960064,-0.5543699860572815,3.002596616744995,0.0846040025353431,-0.8279550075531006,-1.1732362508773804,0.097247339785099
1781217722455206400,3.825206298828125,0.0055490001104772,-0.5548229813575745,3.0047836303710938,0.0856750011444091,-0.8275259733200073,-1.174085021018982,0.104442574083805
1781217722465307600,3.8353076171875,0.0078070000745356,-0.5552690029144287,3.0054709911346436,0.0867850035429,-0.8270930051803589,-1.1750028133392334,0.1095110327005386
1781217722475409000,3.845408935546875,0.0095840003341436,-0.5562599897384644,3.006204128265381,0.0875980034470558,-0.8263220191001892,-1.1772836446762085,0.1135372444987297
