"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.038750001E-4,4.492457886E0,8.384065247E0,2.070494385E0
2.034687500E-2,4.027973785E0,8.458909607E0,3.411405945E0
4.038887500E-2,4.123475189E0,8.288414154E0,2.865940247E0
6.043187500E-2,4.202810211E0,8.324489136E0,2.840642853E0
8.047487500E-2,4.227957916E0,8.345595245E0,2.974165192E0
1.005178750E-1,4.305197296E0,8.360863495E0,2.710413666E0
1.205608750E-1,4.419709167E0,7.895331573E0,2.653981018E0
1.406038750E-1,4.270319824E0,8.142317963E0,2.503094788E0
1.606458750E-1,4.235442352E0,8.083190918E0,2.849324799E0
1.806888750E-1,4.158053284E0,7.911797333E0,2.669398956E0
2.007318750E-1,4.023782501E0,7.608827362E0,2.496807861E0
2.207748750E-1,3.864364014E0,7.429350586E0,2.277962952E0
2.408178750E-1,3.978277130E0,6.912325745E0,1.988914032E0
2.608608750E-1,4.064946899E0,6.702162781E0,1.903441772E0
2.809028750E-1,4.578678589E0,7.125482483E0,2.138453064E0
3.009458750E-1,4.846771088E0,6.619384918E0,3.208128662E0
3.209888750E-1,6.773863678E0,5.891149292E0,2.561473389E0
3.410318750E-1,5.532794495E0,6.009104004E0,1.761237488E0
3.610748750E-1,4.735851746E0,8.293653259E0,4.261338501E0
3.811178750E-1,3.881278839E0,9.639953613E0,4.478686523E0
4.011605000E-1,5.530399475E0,9.485025787E0,1.971999207E0
4.212035000E-1,4.899311829E0,1.085018692E1,3.206482086E0
4.412465000E-1,3.196153564E0,1.083177521E1,3.185375977E0
4.612895000E-1,3.686982880E0,1.034798126E1,3.128793640E0
4.813325000E-1,4.148473206E0,9.437424774E0,3.430566101E0
5.013755000E-1,3.616180115E0,8.976982269E0,3.336711273E0
5.214175000E-1,4.071084137E0,8.564589844E0,2.916535034E0
5.414605000E-1,5.054988098E0,8.410260773E0,2.113155670E0
5.615035000E-1,5.314398651E0,8.848549347E0,2.065554657E0
5.815465000E-1,5.088069305E0,8.856782227E0,3.123704224E0
6.015895000E-1,6.501280518E0,8.367300110E0,3.760929108E0
6.216315000E-1,5.234315186E0,7.267237701E0,2.612068176E0
6.416745000E-1,2.524350586E0,6.491700439E0,1.257534943E0
6.617175000E-1,1.979333954E0,6.383774872E0,1.597328339E0
6.817605000E-1,2.256407776E0,7.194039917E0,5.315296783E0
7.018035000E-1,4.024381256E0,7.783364410E0,4.087998962E-1
7.218465000E-1,1.443598022E0,6.199358368E0,1.680854645E0
7.418885000E-1,2.544708252E-2,4.841831360E0,1.917362823E0
7.619315000E-1,2.349065094E0,1.193363388E1,2.211501160E0
7.819745000E-1,2.529739380E0,2.197550171E1,1.295555878E0
8.020175000E-1,-2.495610352E0,1.690868820E1,-1.859133911E-1
8.220605000E-1,-2.997366943E0,6.790479126E0,3.787124634E-1
8.421025000E-1,-3.986060944E0,7.023993530E0,2.928809509E0
8.621455000E-1,-4.533322906E0,9.514813843E0,4.187691650E0
8.821885000E-1,-3.791016541E0,1.020682480E1,2.650089111E0
9.022315000E-1,-2.076032867E0,9.606573029E0,9.533674622E-1
9.222745000E-1,-3.035687256E-1,9.294022980E0,1.006207581E0
9.423175000E-1,-5.598358154E-1,9.394464111E0,1.709295502E0
9.623595000E-1,-9.964778137E-1,9.364526367E0,2.091001740E0
9.824025000E-1,-9.036708069E-1,9.295819244E0,1.976639557E0
1.002445500E0,-1.014290771E0,9.397607574E0,1.512005768E0
1.022488500E0,-1.157542877E0,9.378148041E0,1.272803192E0
1.042531500E0,-1.213825836E0,9.612859955E0,1.201551361E0
1.062573500E0,-1.153052216E0,9.841883698E0,1.390159149E0
1.082616500E0,-1.128802643E0,9.326505432E0,1.781295776E0
1.102659500E0,-9.650431824E-1,9.345665588E0,1.961520996E0
1.122702500E0,-1.270408173E0,9.861792297E0,1.568438416E0
1.142745500E0,-1.289718018E0,9.991422729E0,1.177451477E0
1.162788500E0,-1.057700500E0,9.701625366E0,1.496438141E0
1.182830500E0,-6.872209167E-1,9.333241425E0,1.746268616E0
1.202873500E0,-4.962181091E-1,9.322912903E0,1.409319305E0
1.222916500E0,-6.315367126E-1,9.652826843E0,2.883004761E-1
1.242959500E0,-1.141376495E0,9.814191284E0,-1.100212097E-1
1.263002500E0,-1.894011383E0,9.907147980E0,9.352551270E-1
1.283045500E0,-2.310445404E0,9.589059448E0,1.717827759E0
1.303087500E0,-1.373094635E0,9.386081543E0,1.128952332E0
1.323130500E0,-5.909710693E-1,9.469458160E0,3.342549133E-1
1.343173500E0,-3.632945251E-1,9.420210571E0,-9.131011963E-3
1.363216500E0,-3.378474426E-1,9.670340424E0,3.450325012E-1
1.383259500E0,-4.456233215E-1,1.000788849E1,6.649172974E-1
1.403302000E0,-3.601510620E-1,1.011506561E1,8.099656677E-1
1.423345000E0,-3.820056152E-1,9.767338715E0,7.271878052E-1
1.443388000E0,-3.884422302E-1,9.486522675E0,3.463796997E-1
1.463431000E0,-4.830455017E-1,9.717342682E0,-3.513194275E-1
1.483474000E0,-7.819738770E-1,9.837991791E0,-2.909948730E-1
1.503516000E0,-7.896080017E-1,9.843829651E0,2.576142883E-1
1.523559000E0,-5.186714172E-1,9.851014709E0,5.034031677E-1
1.543602000E0,-3.532653809E-2,9.933792572E0,-1.576222229E-1
1.563645000E0,2.230361938E-2,9.736652527E0,-7.786807251E-1
1.583688000E0,-2.978805542E-2,9.504485321E0,-8.306227112E-1
1.603731000E0,-3.324586487E-1,9.673633575E0,-7.676037598E-1
1.623773000E0,-7.752378845E-1,9.653575287E0,-8.666976929E-1
1.643816000E0,-1.101110229E0,9.720336456E0,-9.018745422E-1
1.663859000E0,-1.302591248E0,9.809550934E0,-7.195536804E-1
1.683902000E0,-7.683522034E-1,9.752968597E0,-1.869612122E-1
1.703945000E0,-2.101629639E-1,9.627529449E0,-1.565744019E-1
1.723987000E0,-2.880010986E-1,9.685009918E0,-5.739065552E-1
1.744030000E0,-2.065704346E-1,9.788145447E0,-3.266207886E-1
1.764073000E0,2.888992310E-2,1.006417145E1,-1.794767761E-1
1.784116000E0,2.619552612E-1,1.005354355E1,1.938468933E-1
1.804159000E0,3.611988831E-1,9.802066498E0,-1.085243225E-1
1.824201000E0,-7.050338745E-2,9.823322296E0,-2.586621094E-1
1.844244000E0,-9.789642334E-2,9.665400696E0,3.344046021E-1
