"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.762708337E-3,5.990093536E0,7.512128448E0,2.332599335E0
2.780470833E-2,5.972879333E0,7.533234558E0,2.252815247E0
4.784670834E-2,6.040838013E0,7.628586273E0,2.129322052E0
6.788870833E-2,6.015989685E0,7.581434326E0,2.195035400E0
8.793070834E-2,5.900579681E0,7.550149384E0,2.335293732E0
1.079717083E-1,5.833968201E0,7.533234558E0,2.206711121E0
1.280137083E-1,5.866151276E0,7.511679382E0,2.170336761E0
1.480557083E-1,5.852828979E0,7.503895569E0,2.180216217E0
1.680977083E-1,5.842350769E0,7.575446777E0,2.274669800E0
1.881387083E-1,5.967939606E0,7.679181061E0,2.276615753E0
2.081807083E-1,6.140830078E0,7.734865265E0,2.242037659E0
2.282227083E-1,5.948330383E0,7.511080627E0,2.127974854E0
2.482647083E-1,5.687722321E0,7.345973969E0,2.222877502E0
2.683057083E-1,5.467380524E0,7.137158203E0,2.462229767E0
2.883477083E-1,5.500761108E0,7.140002289E0,2.464175720E0
3.083897083E-1,5.840404816E0,6.496191101E0,2.142045593E0
3.284317083E-1,5.766757965E0,6.485563202E0,2.196681976E0
3.484727083E-1,5.625002747E0,6.164780273E0,2.042053528E0
3.685147083E-1,5.435945892E0,6.015690308E0,2.468067627E0
3.885567083E-1,5.512436829E0,5.857469330E0,1.952240295E0
4.085987083E-1,5.994733887E0,6.158643036E0,1.745969238E0
4.286399583E-1,6.466852112E0,6.238127747E0,1.658551025E0
4.486819583E-1,6.191724243E0,6.512656860E0,2.352208557E0
4.687239583E-1,7.093598785E0,8.237070923E0,3.171604614E0
4.887659583E-1,7.617359619E0,7.632777557E0,2.113455048E0
5.088069583E-1,7.983498230E0,7.593708801E0,1.673968964E0
5.288489583E-1,7.303911438E0,7.518864441E0,2.223027191E0
5.488909583E-1,9.645192719E0,1.869312744E0,1.818867645E0
5.689329583E-1,8.519084473E0,4.101321259E0,-9.976753235E-1
5.889739583E-1,6.810537415E0,6.744225311E0,-1.312470703E0
6.090159583E-1,5.423521729E0,8.168812866E0,-3.797602844E-1
6.290579583E-1,4.312082977E0,7.837252350E0,9.614506531E-1
6.490999583E-1,2.836451569E0,8.237669678E0,2.040706329E0
6.691409583E-1,4.943769379E0,8.301736450E0,1.210233307E0
6.891829583E-1,6.051465912E0,8.853788452E0,2.843936005E0
7.092249583E-1,7.256909180E0,9.239236908E0,1.817071381E0
7.292659583E-1,7.078629913E0,8.352929993E0,3.417393494E-1
7.493079583E-1,5.490582275E0,8.280031586E0,9.169931030E-1
7.693499583E-1,4.325105896E0,8.404422913E0,6.682104492E-1
7.893919583E-1,3.127596130E0,8.335865479E0,3.405418396E-1
8.094329583E-1,3.129991150E0,8.752598877E0,1.262923737E0
8.294749583E-1,4.024830322E0,8.846753082E0,6.252497864E-1
8.495169583E-1,5.037175140E0,8.263715515E0,1.071771240E-1
8.695589583E-1,3.887865143E0,7.934400330E0,1.105900269E0
8.895999583E-1,3.454067230E0,7.535180511E0,5.275030518E-1
9.096419583E-1,3.491190033E0,7.398814087E0,-1.767823792E-1
9.296839583E-1,1.404678955E0,7.943231964E0,9.922865295E-1
9.497259583E-1,2.052531738E0,1.511167511E1,-3.661386108E-1
9.697669583E-1,3.200195160E0,2.034778656E1,-8.638536072E-1
9.898089583E-1,6.228547668E-1,1.282143768E1,1.230441284E-1
1.009850958E0,-4.520599365E-1,7.553891602E0,3.209326172E-1
1.029892958E0,1.499132538E0,8.702303467E0,-5.376818848E-1
1.049933958E0,2.684966583E0,9.881251831E0,1.975891113E-1
1.069975958E0,2.255509644E0,9.621990967E0,4.468208313E-1
1.090017958E0,2.141895905E0,9.541009369E0,2.537223816E-1
1.110059958E0,2.236798553E0,9.531578979E0,1.185534668E-1
1.130100958E0,2.201022949E0,9.604776764E0,2.483335876E-1
1.150142958E0,2.171683960E0,9.600735168E0,1.254391479E-1
1.170184958E0,2.248474274E0,9.539512482E0,1.613644409E-1
1.190226958E0,2.411185913E0,9.438023529E0,2.893482971E-1
1.210267958E0,2.575244751E0,9.502389679E0,2.122586060E-1
1.230309958E0,2.518512726E0,9.505982208E0,1.347198486E-1
1.250351958E0,2.389181671E0,9.524393921E0,1.252894592E-1
1.270392958E0,2.319576416E0,9.416767731E0,1.357676697E-1
1.290434958E0,2.310595093E0,9.595945129E0,3.412902832E-2
1.310476958E0,2.267335052E0,9.835147705E0,-1.960922241E-2
1.330518958E0,2.160606995E0,9.647288361E0,-1.396595764E-1
1.350559958E0,2.054178314E0,9.408385162E0,-2.929408264E-1
1.370601958E0,2.146087189E0,9.514813843E0,-2.517764282E-1
1.390643958E0,2.257754974E0,9.677226105E0,-3.022215271E-1
