"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.689624996E-3,-1.241321489E-1,-8.303890377E-2,-2.464458160E-2
2.773262500E-2,4.101420939E-2,-1.318224221E-1,6.451059133E-2
4.777562500E-2,2.578161955E-1,7.402604073E-2,6.947978586E-2
6.781862500E-2,3.107452989E-1,1.419801563E-1,5.225898698E-2
8.786062500E-2,2.384894192E-1,1.219343618E-1,9.126697667E-3
1.079036250E-1,2.243917286E-1,5.894320458E-2,-1.928417012E-2
1.279466250E-1,9.220511466E-2,8.591385931E-2,-6.482609361E-2
1.479896250E-1,3.233436868E-2,-4.387171566E-2,-3.795399517E-2
1.680313750E-1,3.790499642E-3,-1.342104375E-1,-2.082454227E-2
1.880743750E-1,7.490730286E-2,-2.244707495E-1,-6.702932715E-2
2.081173750E-1,1.269493997E-1,-2.923051119E-1,-1.031287387E-1
2.281603750E-1,1.419032514E-1,-3.384818733E-1,-9.014130384E-2
2.482033750E-1,1.637035012E-1,-3.907617331E-1,-4.515145719E-2
2.682453750E-1,7.173184305E-2,-3.634586930E-1,6.092970818E-2
2.882883750E-1,1.236122549E-1,-2.508168817E-1,2.138416283E-2
3.083313750E-1,3.523590565E-1,-4.984211624E-1,-4.795050323E-1
3.283743750E-1,4.241794050E-1,-9.618455768E-1,-1.382107735E0
3.484163750E-1,1.452707499E-1,-1.018377781E0,-2.265965939E0
3.684593750E-1,-1.261775345E-1,-6.629320979E-1,-3.046630383E0
3.885023750E-1,-1.901034266E-2,-9.071136117E-1,-3.239531040E0
4.085453750E-1,3.735679388E-2,-1.162393808E0,-2.546298742E0
4.285883750E-1,9.347351640E-2,-6.085550785E-1,-2.038571835E0
4.486303750E-1,7.629867643E-2,3.382190466E-1,-1.716387033E0
4.686733750E-1,2.603801489E-1,9.469357729E-1,-1.391491771E0
4.887163750E-1,4.979425669E-1,1.189701557E0,-1.326187968E0
5.087593750E-1,8.852525949E-1,1.015037656E0,-1.176759481E0
5.288013750E-1,4.559548795E-1,8.126683235E-1,-1.068738580E0
5.488443750E-1,-2.894057333E-1,1.045836329E0,-1.335342407E0
5.688873750E-1,-2.933125496E-1,9.109077454E-1,-9.010975361E-1
5.889303750E-1,2.426550388E-1,2.290243506E-1,-9.238608181E-2
6.089723750E-1,2.836651206E-1,-2.382543087E-1,1.299681664E-1
6.290153750E-1,-1.074051633E-1,-3.158574924E-2,-1.527558267E-2
6.490583750E-1,-1.703402698E-1,6.736768037E-2,-2.099046111E-2
6.691013750E-1,2.357625216E-2,-1.578267664E-2,2.245555259E-2
6.891443750E-1,6.683070213E-2,-4.771821946E-2,4.044493660E-2
7.091863750E-1,-1.196847390E-2,-6.120886654E-2,4.389506206E-2
7.292293750E-1,-2.835412137E-2,-3.844156861E-2,4.393794015E-2
7.492723750E-1,2.318169549E-2,-8.932925761E-3,4.811457545E-2
7.693153750E-1,3.907595575E-2,-6.419357657E-2,3.430075943E-2
7.893573750E-1,-1.208432298E-2,-1.561671346E-1,5.981943384E-2
8.094003750E-1,-1.545911096E-2,-1.633097976E-1,1.178414598E-1
8.294433750E-1,3.043675795E-2,-1.444082260E-1,1.745878309E-1
8.494863750E-1,6.547955424E-2,-1.547481120E-1,2.101407647E-1
8.695293750E-1,5.475895479E-2,-1.476554275E-1,2.040913850E-1
8.895713750E-1,6.386047602E-2,-1.128673330E-1,1.461170316E-1
9.096143750E-1,9.589035064E-2,-1.124313101E-1,7.989460975E-2
9.296573750E-1,1.239737123E-1,-4.874216393E-2,3.363417089E-2
9.497003750E-1,6.053162366E-2,7.287295163E-2,-2.288130298E-2
9.697423750E-1,-3.283753619E-2,1.652695537E-1,-7.776266336E-2
9.897853750E-1,-8.568290621E-2,1.789893508E-1,-7.231809199E-2
1.009828375E0,-1.442750394E-1,7.444261014E-2,-1.453495771E-2
1.029871375E0,-1.630208641E-1,-1.537831426E-1,3.868112713E-2
1.049914375E0,-1.656570137E-1,-2.656088471E-1,3.918845952E-2
1.069956375E0,-1.693836451E-1,-1.871553510E-1,5.591310933E-2
1.089999375E0,-1.273650378E-1,-1.356440336E-1,9.923715144E-2
1.110042375E0,-3.245252371E-2,-9.954984486E-2,1.356926262E-1
1.130085375E0,4.333239794E-2,-1.263848692E-2,1.404370517E-1
1.150127375E0,1.212766171E-1,4.009099677E-2,1.288216710E-1
1.170171375E0,2.372364253E-1,-5.135980248E-2,1.384633780E-1
1.190214375E0,3.598535657E-1,-2.315778732E-1,1.684492379E-1
1.210257375E0,5.054900050E-1,-3.144109547E-1,2.099452913E-1
1.230299375E0,6.542783976E-1,-2.726266086E-1,2.204482555E-1
1.250342375E0,7.816939950E-1,-1.816855371E-1,2.133727819E-1
1.270385375E0,8.942096233E-1,-1.000257730E-1,2.010524571E-1
1.290428375E0,8.904610276E-1,-1.068116631E-3,1.840092987E-1
1.310471375E0,7.121233344E-1,1.646660268E-1,1.613303423E-1
1.330513375E0,4.626100659E-1,2.729959190E-1,1.180851385E-1
1.350556375E0,3.615720272E-1,1.597983688E-1,3.516202420E-2
1.370599375E0,3.474104106E-1,-2.309155837E-2,-3.674918413E-2
1.390642375E0,3.085826337E-1,-1.837739944E-1,-6.344018131E-2
1.410684375E0,2.521747351E-1,-1.771930605E-1,-2.641665190E-2
1.430727375E0,2.826702893E-1,1.765800267E-2,-4.634907842E-2
1.450770375E0,2.773100436E-1,1.423966289E-1,-8.255315572E-2
1.470813375E0,2.642309964E-1,1.346398443E-1,-9.046354145E-2
1.490855375E0,2.383406907E-1,1.060959883E-2,-2.805449255E-2
1.510898375E0,2.560822666E-1,-1.762296855E-1,6.804887205E-2
1.530941375E0,3.155497313E-1,-2.820427120E-1,1.355866343E-1
1.550984375E0,3.582661450E-1,-2.450452447E-1,1.523501724E-1
