"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.296500003E-3,6.675817566E0,7.011419678E0,7.762857056E-1
1.774650000E-2,6.864275665E0,7.141499176E0,1.102906494E0
3.778950000E-2,6.804549866E0,7.049739990E0,9.488768005E-1
5.783250000E-2,6.687044220E0,7.033423920E0,9.460327148E-1
7.787650000E-2,6.594386902E0,7.060367889E0,1.027613068E0
9.791950000E-2,6.782096558E0,7.088209991E0,1.086590424E0
1.179625000E-1,6.909930725E0,7.098239136E0,1.141526184E0
1.380055000E-1,6.832541656E0,7.163353729E0,1.097966766E0
1.580485000E-1,6.749015350E0,7.202721863E0,1.297950897E0
1.780925000E-1,6.812483368E0,7.221283264E0,1.339115295E0
1.981355000E-1,6.847660217E0,6.998845825E0,1.173559570E0
2.181785000E-1,6.857988739E0,7.017556915E0,9.785151672E-1
2.382215000E-1,6.759942627E0,7.129524078E0,1.119971008E0
2.582655000E-1,6.779551849E0,7.201075287E0,1.372795258E0
2.783085000E-1,7.453600159E0,6.733597412E0,1.476379852E0
2.983515000E-1,7.657775574E0,6.144572296E0,1.371148682E0
3.183945000E-1,7.364685059E0,6.261479187E0,1.745819550E0
3.384375000E-1,5.934409332E0,4.298760681E0,1.334624634E0
3.584815000E-1,5.163063354E0,4.075874176E0,1.344354401E0
3.785245000E-1,5.459147644E0,5.029690704E0,1.686692505E0
3.985675000E-1,5.062921600E0,6.135890350E0,1.245709534E0
4.186105000E-1,4.199367371E0,7.621999969E0,1.140628052E0
4.386545000E-1,2.887944489E0,1.001507355E1,6.640191650E-1
4.586975000E-1,7.067253571E0,9.219627686E0,4.053570557E-1
4.787405000E-1,5.264552307E0,8.241711273E0,1.066981201E0
4.987835000E-1,3.282074890E0,8.082442474E0,1.180445251E0
5.188275000E-1,3.634142761E0,1.436832092E1,-1.287322998E-1
5.388705000E-1,3.238515472E0,1.726794113E1,-2.853067017E-1
5.589135000E-1,1.003363495E0,9.583520966E0,9.529183960E-1
5.789565000E-1,3.520529022E0,7.884404297E0,4.740641785E-1
5.989995000E-1,4.559817810E0,8.748557281E0,9.568103027E-1
6.190435000E-1,3.639980621E0,9.170529785E0,6.457571411E-1
6.390865000E-1,3.637136536E0,9.155411224E0,7.991880798E-1
6.591295000E-1,3.844156036E0,9.100625153E0,8.907975769E-1
6.791725000E-1,3.775748291E0,9.028774567E0,8.047265625E-1
6.992165000E-1,3.640130310E0,9.008566589E0,6.758445740E-1
7.192595000E-1,3.661984863E0,9.105864258E0,7.587721252E-1
7.393025000E-1,3.637435913E0,9.229058075E0,7.674540710E-1
7.593455000E-1,3.532204742E0,9.176667023E0,7.488926697E-1
7.793885000E-1,3.498225403E0,9.071435852E0,6.827302551E-1
7.994325000E-1,3.589984589E0,9.103618927E0,8.399034119E-1
8.194755000E-1,3.710334320E0,9.071735229E0,9.401948547E-1
8.395185000E-1,3.807182922E0,9.084907837E0,9.256750488E-1
8.595615000E-1,3.881578217E0,8.974736938E0,9.324110413E-1
8.796055000E-1,3.927682343E0,8.974736938E0,9.306147766E-1
8.996485000E-1,3.951033783E0,8.969647522E0,9.608518982E-1
9.196915000E-1,3.937262421E0,8.949589233E0,9.416917419E-1
9.397343750E-1,3.939358063E0,8.915011139E0,9.095086670E-1
9.597783750E-1,3.953728180E0,8.887019348E0,8.202941895E-1
9.798213750E-1,3.929927673E0,8.949140167E0,7.713459778E-1
9.998643750E-1,3.940705261E0,9.023984528E0,7.548802185E-1
1.019907375E0,3.883374481E0,9.023385773E0,6.497987366E-1
1.039950375E0,3.858077087E0,9.010063477E0,6.228547668E-1
1.059994375E0,3.862268372E0,9.078770599E0,6.143225098E-1
1.080037375E0,3.842958527E0,9.052874451E0,6.207591248E-1
1.100080375E0,3.854933624E0,9.021439819E0,6.249504089E-1
1.120123375E0,3.869603119E0,9.040749664E0,6.153703308E-1
1.140166375E0,3.818559265E0,9.098379822E0,5.929170227E-1
1.160210375E0,3.723806305E0,9.133856049E0,5.688171387E-1
1.180253375E0,3.638783112E0,9.164691925E0,5.200186157E-1
1.200296375E0,3.622766418E0,9.185049591E0,4.827461243E-1
1.220339375E0,3.570824432E0,9.176966400E0,4.552033997E-1
1.240383375E0,3.570974121E0,9.174421692E0,4.384382629E-1
1.260426375E0,3.546275482E0,9.260043640E0,4.165837097E-1
1.280469375E0,3.492237854E0,9.252259827E0,4.170327759E-1
1.300512375E0,3.501518555E0,9.195827179E0,3.607498169E-1
1.320555375E0,3.516188049E0,9.266480255E0,3.034190369E-1
1.340599375E0,3.369044037E0,9.362430725E0,1.414558411E-1
1.360642375E0,3.163521423E0,9.420659637E0,2.260299683E-2
1.380685375E0,3.045417023E0,9.443112946E0,3.622467041E-2
1.400728375E0,3.191513214E0,9.304501190E0,3.032693481E-1
1.420771375E0,3.546724548E0,9.051527252E0,6.740483093E-1
1.440815375E0,3.952680359E0,8.949888611E0,8.735833740E-1
1.460858375E0,4.089495850E0,8.896599426E0,9.159452820E-1
1.480901375E0,4.112248535E0,8.809181213E0,9.699829102E-1
1.500944375E0,4.081861725E0,8.855884094E0,1.028211823E0
1.520988375E0,3.992198181E0,9.014404449E0,1.050964508E0
1.541031375E0,3.905378723E0,9.103618927E0,9.833052063E-1
1.561074375E0,3.767216034E0,9.102122040E0,8.798703003E-1
1.581117375E0,3.584146729E0,9.091494141E0,7.918533325E-1
1.601160375E0,3.513793030E0,9.176667023E0,7.030879211E-1
