time,seconds_elapsed,y,z,x
1780528904803790800,-0.001209228515625,0.1270599663257599,0.36529740691185,-0.26022860407829285
1780528904814892300,0.009892333984375,0.13439035415649414,0.38240164518356323,-0.3127630054950714
1780528904824963000,0.019963134765625,0.15393804013729095,0.39217549562454224,-0.33597588539123535
1780528904845165600,0.04016552734375,0.16982053220272064,0.42760565876960754,-0.2834414839744568
1780528904875469600,0.070469482421875,0.21380282938480377,0.3995058834552765,-0.3188716471195221
1780528904986248400,0.18124853515625,0.21991148591041565,0.17837265133857727,-0.05253441259264946
1780528904996319200,0.1913193359375,0.16859880089759827,0.16493362188339233,-0.13561208546161652
1780528905006420500,0.20142041015625,0.14049901068210602,0.15515977144241333,-0.2015855312347412
1780528905036724500,0.231724365234375,0.08307767659425735,0.1918116807937622,-0.21380282938480377
1780528905046856400,0.2418564453125,0.03787364438176155,0.21991148591041565,-0.13316862285137177
1780528905056957700,0.251957763671875,0.02076941914856434,0.2431243658065796,-0.05742133408784866
1780528905067028500,0.262028564453125,0.01710422709584236,0.27611109614372253,-0.021991148591041565
1780528905077099300,0.272099365234375,-0.006108652334660292,0.32620203495025635,-0.045204028487205505
1780528905087200500,0.282200439453125,-0.0354301854968071,0.37262779474258423,-0.14049901068210602
1780528905097302000,0.292302001953125,-0.04886921867728233,0.41661009192466736,-0.2822197377681732
1780528905107372800,0.302372802734375,-0.04764748737215996,0.46670106053352356,-0.44226643443107605
1780528905117474000,0.31247412109375,-0.02687807008624077,0.5314527750015259,-0.6047565937042236
1780528905127575300,0.3225751953125,0.025656340643763542,0.6023131608963013,-0.769690215587616
1780528905137646000,0.33264599609375,0.09040805697441101,0.6780604124069214,-0.9272934198379517
1780528905178020900,0.373020751953125,0.26511552929878235,1.0140362977981567,-1.3683381080627441
1780528905208294400,0.40329443359375,0.4960225820541382,1.4196507930755615,-1.4721852540969849
1780528905218365200,0.413365234375,0.5803219676017761,1.6029103994369507,-1.4892895221710205
1780528905228436000,0.42343603515625,0.7391469478607178,2.052507162094116,-1.549154281616211
1780528905238537200,0.433537109375,0.8344419002532959,2.2883012294769287,-1.624901533126831
1780528905248638500,0.443638427734375,0.9553932547569275,2.500882387161255,-1.7605136632919312
1780528905258709200,0.453709228515625,1.1020009517669678,2.691472291946411,-2.0024163722991943
1780528905268749600,0.46374951171875,1.2180652618408203,2.8930578231811523,-2.3457224369049072
1780528905278851000,0.47385107421875,1.3084733486175537,3.0995302200317383,-2.7769935131073
1780528905309154800,0.50415478515625,1.313360333442688,3.6578609943389893,-4.068362712860107
1780528905319256300,0.51425634765625,1.2021827697753906,3.780034065246582,-4.322482585906982
1780528905329327000,0.5243271484375,1.0751228332519531,3.886324644088745,-4.420220851898193
1780528905339428400,0.534428466796875,0.9749409556388855,3.9938368797302246,-4.356690883636475
1780528905354565000,0.549565185546875,0.9175195693969727,4.1025710105896,-4.219857215881348
1780528905369732400,0.564732421875,0.7318165898323059,4.27605676651001,-4.125783920288086
1780528905379833600,0.57483349609375,0.5094616413116455,4.335921287536621,-4.28216552734375
1780528905400005600,0.595005615234375,-0.23457226157188416,4.377460479736328,-4.934569358825684
1780528905410107100,0.605107177734375,-0.6914994716644287,4.2919392585754395,-5.424483299255371
1780528905420238800,0.61523876953125,-1.1911872625350952,4.133114337921143,-5.932723045349121
1780528905430309600,0.6253095703125,-1.7348573207855225,3.9632937908172607,-6.385985374450684
1780528905440411100,0.6354111328125,-2.266309976577759,3.72994327545166,-6.718296051025391
1780528905450512400,0.645512451171875,-2.7647759914398193,3.4037411212921143,-6.922325134277344
1780528905460613600,0.655613525390625,-3.2058207988739014,2.9993484020233154,-7.012732982635498
1780528905470715000,0.66571484375,-3.601661443710327,2.5277602672576904,-7.045719623565674
1780528905480816400,0.67581640625,-3.9816195964813232,1.99752938747406,-7.035945892333984
1780528905521221600,0.7162216796875,-4.715879917144775,-0.34697145223617554,-6.612005233764648
1780528905531353300,0.726353271484375,-4.619362831115723,-0.817337691783905,-6.21372127532959
1780528905541454800,0.736454833984375,-4.481307506561279,-1.2424999475479126,-5.579643249511719
1780528905551556000,0.74655615234375,-4.326147556304932,-1.6004669666290283,-4.7305402755737305
1780528905561657300,0.7566572265625,-4.148996829986572,-1.880243182182312,-3.782477617263794
1780528905571758600,0.766758544921875,-3.9486329555511475,-2.102598190307617,-2.839301586151123
1780528905581860000,0.776860107421875,-3.7336084842681885,-2.309070587158203,-2.0195205211639404
1780528905591961300,0.78696142578125,-3.5271358489990234,-2.5314254760742188,-1.370781660079956
1780528905602093000,0.797093017578125,-3.3206634521484375,-2.7281241416931152,-0.9920451641082764
1780528905612194600,0.807194580078125,-3.09586501121521,-2.850297212600708,-0.998153805732727
1780528905622295800,0.8172958984375,-2.869844913482666,-2.9626965522766113,-1.3267992734909058
1780528905632397000,0.82739697265625,-2.6670377254486084,-3.10197377204895,-1.7922786474227905
1780528905642529000,0.837529052734375,-2.492330312728882,-3.2204816341400146,-2.2235496044158936
1780528905662762000,0.857761962890625,-2.020742177963257,-3.393967390060425,-2.7171285152435303
1780528905677898800,0.872898681640625,-1.7165313959121704,-3.441614866256714,-2.6059510707855225
1780528905723370000,0.918369873046875,-0.7953465580940247,-3.3157765865325928,-0.24190263450145721
1780528905733471200,0.92847119140625,-0.7305948138237,-3.2278120517730713,-0.07330382615327835
1780528905743603200,0.938603271484375,-0.6768386960029602,-3.1398472785949707,-0.059864792972803116
1780528905753704400,0.948704345703125,-0.6450737118721008,-3.0164525508880615,-0.08185594528913498
1780528905763805700,0.9588056640625,-0.6120869517326355,-2.872288465499878,-0.004886921960860491
1780528905773907200,0.9689072265625,-0.5607742667198181,-2.719572067260742,0.20525072515010834
1780528905784008400,0.979008544921875,-0.49235737323760986,-2.6340508460998535,0.44593164324760437
1780528905794109700,0.989109619140625,-0.42149701714515686,-2.6108381748199463,0.5619960427284241
1780528905875042300,1.070042236328125,-0.21380282938480377,-2.484999895095825,0.8393288254737854
1780528905885174300,1.08017431640625,-0.10384709388017654,-2.4678955078125,1.1997393369674683
1780528905895275500,1.090275634765625,-0.00733038317412138,-2.445904493331909,1.4819591045379639
1780528905915478300,1.110478271484375,0.11972958594560623,-2.403143882751465,1.891238808631897
1780528905996319200,1.1913193359375,0.4764748811721802,-2.180788993835449,2.649933338165283
1780528906006420500,1.20142041015625,0.4911356568336487,-2.057394027709961,2.7036895751953125
1780528906016522000,1.21152197265625,0.49846604466438293,-1.930334210395813,2.8185322284698486
1780528906026653700,1.22165380859375,0.50335294008255,-1.8216001987457275,2.948035717010498
1780528906036755000,1.2317548828125,0.4911356568336487,-1.7324138879776,3.0360002517700195
1780528906046887000,1.241886962890625,0.46303585171699524,-1.6493362188339233,3.054326295852661
1780528906107342000,1.302342041015625,0.5302310585975647,-0.6389650702476501,0.3335324227809906
1780528906117443600,1.312443603515625,0.4251621961593628,-0.3274237811565399,0.1563815027475357
1780528906127514400,1.322514404296875,0.19303341209888458,0.1612684279680252,1.274264931678772
1780528906147625500,1.34262548828125,0.3029891550540924,1.3231340646743774,1.890017032623291
1780528906218151400,1.4131513671875,-0.09773843735456467,0.13439035415649414,-0.6878342628479004
1780528906298748400,1.49374853515625,0.051312681287527084,-0.45204028487205505,0.3176499307155609
1780528906359295200,1.554295166015625,0.2015855312347412,-0.7281513810157776,-0.3335324227809906
1780528906379498000,1.574498046875,0.010995574295520782,-0.3628539443016052,-0.3274237811565399
1780528906389568800,1.58456884765625,-0.27611109614372253,-0.04398229718208313,-0.09285151958465576
1780528906399639600,1.5946396484375,-0.6499606370925903,0.2871066629886627,-0.2382374405860901
1780528906419781000,1.614781005859375,-0.8454375267028809,0.051312681287527084,-1.8448129892349243
1780528906450024000,1.64502392578125,-0.21502456068992615,0.17104226350784302,-0.5412266254425049
1780528906460095000,1.655094970703125,-0.27611109614372253,0.20402899384498596,0.02076941914856434
1780528906470196200,1.6651962890625,-0.31031954288482666,0.17104226350784302,0.2993239760398865
1780528906480297500,1.67529736328125,-0.2736676335334778,0.10873401165008545,0.3885102868080139
1780528906490398700,1.685398681640625,-0.2125810980796814,0.07452555745840073,0.5290092825889587
1780528906500439000,1.69543896484375,-0.2174680233001709,0.1258382350206375,0.7819074988365173
1780528906510509800,1.705509765625,-0.26511552929878235,0.27488934993743896,0.9431759119033813
1780528906520580600,1.71558056640625,-0.27000242471694946,0.43127086758613586,0.8943067193031311
1780528906540722200,1.73572216796875,-0.2370157092809677,0.6695083379745483,0.17959438264369965
1780528906550762500,1.745762451171875,-0.2577851414680481,0.8710938692092896,-0.29565876722335815
1780528906560864000,1.755864013671875,-0.3090978264808655,0.93095862865448,-0.6817256212234497
1780528906570965200,1.76596533203125,-0.33719760179519653,0.8210029006004333,-0.7916813492774963
1780528906581036000,1.7760361328125,-0.3029891550540924,0.7086036801338196,-0.6377432942390442
1780528906591106800,1.78610693359375,-0.27000242471694946,0.608421802520752,-0.2932153046131134
1780528906601177600,1.796177490234375,-0.2626720666885376,0.43249258399009705,0.16737708449363708
