time,seconds_elapsed,qy,qx,yaw,qw,qz,roll,pitch
1780528904803790800,-0.001209228515625,0.18208199739456177,0.09135700017213821,-1.8638288974761963,0.5779799818992615,0.7902140021324158,0.07195444405078888,-0.40429699420928955
1780528904814892300,0.009892333984375,0.18301700055599213,0.08958499878644943,-1.8664789199829102,0.5766500234603882,0.7911720275878906,0.07545338571071625,-0.4037986099720001
1780528904835064300,0.030064208984375,0.18266800045967102,0.08604899793863297,-1.8736531734466553,0.5737900137901306,0.793720006942749,0.07934535294771194,-0.3992447555065155
1780528904845165600,0.04016552734375,0.18183499574661255,0.08443000167608261,-1.8779826164245605,0.5722339749336243,0.7952070236206055,0.08010707795619965,-0.3960968852043152
1780528904865337900,0.060337890625,0.18009799718856812,0.08118599653244019,-1.8872026205062866,0.5689049959182739,0.7983229756355286,0.08148547261953354,-0.38971737027168274
1780528904986248400,0.18124853515625,0.13786500692367554,0.06388700008392334,-2.2920970916748047,0.4075010120868683,0.9004740118980408,-0.0028274566866457462,-0.3050655722618103
1780528904996319200,0.1913193359375,0.13796600699424744,0.06310000270605087,-2.289564371109009,0.40852299332618713,0.9000509977340698,-0.000903456355445087,-0.3045967221260071
1780528905006420500,0.20142041015625,0.13730299472808838,0.06325100362300873,-2.2746918201446533,0.4151400029659271,0.8971089720726013,0.0005384545656852424,-0.30350571870803833
1780528905036724500,0.231724365234375,0.1358949989080429,0.059783998876810074,-2.2738037109375,0.41535499691963196,0.897462010383606,0.005838938057422638,-0.29797425866127014
1780528905046856400,0.2418564453125,0.13628900051116943,0.058348000049591064,-2.2745754718780518,0.4148299992084503,0.8977389931678772,0.008692905306816101,-0.29748111963272095
1780528905056957700,0.251957763671875,0.1372399926185608,0.0567299984395504,-2.27522873878479,0.4142720103263855,0.8979550004005432,0.01237250305712223,-0.2978588342666626
1780528905067028500,0.262028564453125,0.13926899433135986,0.05484800040721893,-2.2759993076324463,0.4135029911994934,0.8981149792671204,0.01743626967072487,-0.2999984920024872
1780528905077099300,0.272099365234375,0.14267699420452118,0.05251900106668472,-2.276772975921631,0.4125010073184967,0.8981789946556091,0.024493547156453133,-0.304301917552948
1780528905087200500,0.282200439453125,0.14770099520683289,0.04952700063586235,-2.2767281532287598,0.4115520119667053,0.8979730010032654,0.034276362508535385,-0.31101900339126587
