time,seconds_elapsed,y,z,x
1780529987941031400,-0.046968505859375,-5.159999847412109,-28.85999870300293,2.93999981880188
1780529987981375700,-0.006624267578125,-6.359999656677246,-27,1.8600000143051147
1780529988001578500,0.01357861328125,-4.859999656677246,-29.15999984741211,1.6200000047683716
1780529988011710200,0.023710205078125,-3.7200000286102295,-28.3799991607666,1.8600000143051147
1780529988031882200,0.04388232421875,-3.299999952316284,-27.779998779296875,1.559999942779541
1780529988041983700,0.053983642578125,-3.299999952316284,-26.8799991607666,1.7999999523162842
1780529988052085000,0.0640849609375,-3.7200000286102295,-27.53999900817871,1.6799999475479126
1780529988062186200,0.074186279296875,-3.6599998474121094,-28.559999465942383,1.6200000047683716
1780529988082297300,0.09429736328125,-3.419999837875366,-29.8799991607666,1.3199999332427979
1780529988122641700,0.1346416015625,-3.179999828338623,-29.459999084472656,0.7799999713897705
1780529988161985800,0.17398583984375,-2.0999999046325684,-31.01999855041504,0.7199999690055847
1780529988212462000,0.224462158203125,-1.9799998998641968,-32.21999740600586,1.3799999952316284
1780529988232664600,0.24466455078125,-2.4600000381469727,-32.7599983215332,0.7199999690055847
1780529988242796500,0.254796630859375,-1.9799998998641968,-33.29999923706055,0.5399999618530273
1780529988273069800,0.28506982421875,-1.1999999284744263,-32.34000015258789,1.9199999570846558
1780529988303404300,0.315404296875,-1.7999999523162842,-32.57999801635742,2.4600000381469727
1780529988313505500,0.325505615234375,-2.700000047683716,-32.939998626708984,1.7999999523162842
1780529988333708300,0.345708251953125,-3.359999895095825,-31.619998931884766,1.8600000143051147
1780529988343840300,0.35584033203125,-3.5999999046325684,-30.420000076293945,1.6200000047683716
1780529988414549200,0.42654931640625,-2.819999933242798,-29.34000015258789,1.7400000095367432
1780529988434752000,0.446751953125,-2.759999990463257,-30.17999839782715,1.559999942779541
1780529988444853200,0.456853271484375,-3.240000009536743,-30.059999465942383,0.9599999785423279
1780529988465056000,0.477055908203125,-2.879999876022339,-30,1.5
1780529988505461200,0.517461181640625,-2.4600000381469727,-28.68000030517578,3.119999885559082
1780529988515532000,0.527531982421875,-2.4600000381469727,-28.619998931884766,3.059999942779541
1780529988586241300,0.5982412109375,-3.179999828338623,-29.099998474121094,4.859999656677246
1780529988616484000,0.628484130859375,-1.9799998998641968,-30.779998779296875,3.119999885559082
1780529988626585600,0.638585693359375,-1.9199999570846558,-30.959999084472656,2.879999876022339
1780529988636686800,0.648686767578125,-1.4399999380111694,-31.619998931884766,3.359999895095825
1780529988656828400,0.668828369140625,-2.2799999713897705,-32.15999984741211,3
1780529988666929700,0.6789296875,-2.6399998664855957,-32.7599983215332,2.93999981880188
1780529988676970000,0.688969970703125,-2.6399998664855957,-32.57999801635742,2.700000047683716
1780529988687040800,0.699040771484375,-2.879999876022339,-32.099998474121094,2.879999876022339
1780529988727354600,0.739354736328125,-3.5399999618530273,-33.89999771118164,3.359999895095825
1780529988737455900,0.749455810546875,-3.419999837875366,-34.13999938964844,1.9799998998641968
1780529988747526700,0.759526611328125,-3.7200000286102295,-34.2599983215332,0.8999999761581421
1780529988757628000,0.7696279296875,-3.4800000190734863,-34.79999923706055,0.35999998450279236
1780529988767698700,0.77969873046875,-3.4800000190734863,-35.34000015258789,0.11999999731779099
1780529988777739000,0.789739013671875,-2.4600000381469727,-34.31999969482422,0.5999999642372131
1780529988787779300,0.799779296875,-2.2799999713897705,-34.73999786376953,0.23999999463558197
1780529988797880600,0.809880615234375,-1.8600000143051147,-34.20000076293945,-0.11999999731779099
1780529988807951400,0.819951416015625,-1.559999942779541,-33.41999816894531,-0.7199999690055847
1780529988818052900,0.830052978515625,-3.359999895095825,-33.47999954223633,-1.1399999856948853
1780529988828123600,0.84012353515625,-3.119999885559082,-32.7599983215332,-1.2599999904632568
1780529988838225000,0.850224853515625,-3.5999999046325684,-32.7599983215332,-0.6599999666213989
1780529988848295700,0.860295654296875,-3.8999998569488525,-32.70000076293945,-0.7199999690055847
1780529988858397000,0.87039697265625,-3.299999952316284,-32.939998626708984,-1.4399999380111694
1780529988878569200,0.8905693359375,-3.6599998474121094,-33.599998474121094,-3.240000009536743
1780529988888640000,0.900639892578125,-3.7200000286102295,-33.18000030517578,-3.7200000286102295
1780529988898710800,0.910710693359375,-3.179999828338623,-33.18000030517578,-3.8399999141693115
1780529988908812000,0.92081201171875,-2.879999876022339,-32.81999969482422,-4.079999923706055
1780529988918852400,0.930852294921875,-2.0399999618530273,-32.279998779296875,-4.559999942779541
1780529988928953600,0.94095361328125,-1.7400000095367432,-32.459999084472656,-4.619999885559082
1780529988939024400,0.9510244140625,-1.4399999380111694,-31.979999542236328,-4.980000019073486
1780529988949095200,0.96109521484375,-1.6200000047683716,-31.619998931884766,-5.099999904632568
1780529988959196700,0.97119677734375,-1.7400000095367432,-31.01999855041504,-5.400000095367432
1780529988969267500,0.981267333984375,-0.8399999737739563,-30.239999771118164,-5.87999963760376
1780529988979368700,0.99136865234375,-1.1999999284744263,-29.69999885559082,-6.539999961853027
1780529988989500400,1.00150048828125,-0.7799999713897705,-29.8799991607666,-7.019999980926514
1780529989009672700,1.021672607421875,-0.7799999713897705,-29.939998626708984,-7.37999963760376
1780529989019743500,1.031743408203125,-0.17999999225139618,-30.420000076293945,-7.440000057220459
1780529989029814300,1.041814208984375,-0.17999999225139618,-30.239999771118164,-7.799999713897705
1780529989039915500,1.05191552734375,0.17999999225139618,-29.8799991607666,-8.039999961853027
1780529989050016800,1.062016845703125,-0.17999999225139618,-29.459999084472656,-8.519999504089355
1780529989060087800,1.072087890625,0.5999999642372131,-28.799999237060547,-8.34000015258789
1780529989070158600,1.08215869140625,1.3199999332427979,-28.3799991607666,-8.279999732971191
1780529989080229400,1.0922294921875,0.8999999761581421,-28.439998626708984,-8.34000015258789
1780529989090330600,1.10233056640625,1.8600000143051147,-28.5,-8.34000015258789
1780529989110441700,1.122441650390625,1.0799999237060547,-27.599998474121094,-8.760000228881836
1780529989120543000,1.13254296875,1.7999999523162842,-27.84000015258789,-7.739999771118164
1780529989130613800,1.14261376953125,1.559999942779541,-27.239999771118164,-7.799999713897705
1780529989140715000,1.152715087890625,1.8600000143051147,-28.439998626708984,-8.15999984741211
1780529989150724900,1.162724853515625,3,-28.31999969482422,-7.980000019073486
1780529989160826000,1.172826171875,1.9199999570846558,-27.65999984741211,-8.880000114440918
1780529989170897000,1.18289697265625,2.4600000381469727,-28.139999389648438,-8.220000267028809
1780529989180998400,1.192998291015625,2.759999990463257,-28.19999885559082,-7.559999942779541
1780529989201109500,1.213109619140625,4.019999980926514,-28.31999969482422,-7.619999885559082
1780529989211180300,1.22318017578125,4.859999656677246,-29.34000015258789,-8.09999942779541
1780529989221251000,1.2332509765625,4.5,-28.68000030517578,-8.819999694824219
1780529989231291400,1.24329150390625,4.679999828338623,-29.939998626708984,-8.760000228881836
1780529989251494000,1.263493896484375,4.440000057220459,-27.779998779296875,-8.279999732971191
1780529989301939500,1.313939453125,5.400000095367432,-28.3799991607666,-7.980000019073486
1780529989352324000,1.364323974609375,10.679999351501465,-30,-8.639999389648438
1780529989392637700,1.4046376953125,14.819999694824219,-26.279998779296875,-8.699999809265137
1780529989443083300,1.455083251953125,20.15999984741211,-20.81999969482422,-10.079999923706055
1780529989453184500,1.4651845703125,21.600000381469727,-20.03999900817871,-10.139999389648438
1780529989483427600,1.495427490234375,24.35999870300293,-19.19999885559082,-11.699999809265137
1780529989533812000,1.54581201171875,30,-13.559999465942383,-12.239999771118164
1780529989543913500,1.55591357421875,31.139999389648438,-11.75999927520752,-11.639999389648438
1780529989553984300,1.565984375,31.85999870300293,-10.079999923706055,-10.859999656677246
1780529989584288000,1.5962880859375,37.97999954223633,-7.440000057220459,-5.87999963760376
1780529989644621300,1.656621337890625,40.97999954223633,-3.8399999141693115,14.399999618530273
1780529989705076700,1.71707666015625,28.19999885559082,-5.699999809265137,33.23999786376953
1780529989785643000,1.79764306640625,6.71999979019165,-9.479999542236328,37.91999816894531
1780529989846068000,1.85806787109375,-0.8399999737739563,-10.920000076293945,34.97999954223633
1780529989916594000,1.928593994140625,-4.619999885559082,-13.019999504089355,31.559999465942383
1780529989926665000,1.9386650390625,-5.279999732971191,-14.15999984741211,31.01999855041504
1780529989956938200,1.968938232421875,-4.019999980926514,-17.579999923706055,31.19999885559082
1780529989967039500,1.97903955078125,-4.619999885559082,-16.739999771118164,31.079999923706055
1780529990007292200,2.019292236328125,-6,-20.760000228881836,30.53999900817871
1780529990047545000,2.059545166015625,-7.199999809265137,-23.81999969482422,33.36000061035156
1780529990057646300,2.069646240234375,-7.019999980926514,-24.53999900817871,33.47999954223633
1780529990077788000,2.089787841796875,-5.940000057220459,-26.03999900817871,35.099998474121094
1780529990097929500,2.109929443359375,-5.279999732971191,-25.559999465942383,37.13999938964844
1780529990128172300,2.14017236328125,-6.359999656677246,-22.5,38.7599983215332
