time,seconds_elapsed,z,y,x
1780563831721037600,0.66603759765625,-26.08125114440918,-35.98125076293945,-10.987500190734863
1780563831741034000,0.686033935546875,-23.100000381469727,-36.76875305175781,-10.668750762939453
1780563831761030700,0.70603076171875,-23.568750381469727,-36.375,-10.631250381469727
1780563831781035000,0.726034912109375,-24.281251907348633,-36.22500228881836,-11.4375
1780563831801024000,0.74602392578125,-25.875001907348633,-36.431251525878906,-11.86875057220459
1780563831821020700,0.766020751953125,-25.33125114440918,-35.306251525878906,-14.86875057220459
1780563831841025000,0.78602490234375,-22.200000762939453,-35.26875305175781,-16.575000762939453
1780563831861021700,0.806021728515625,-24.243751525878906,-33.41250228881836,-15.093750953674316
1780563831881018000,0.82601806640625,-28.443750381469727,-29.287500381469727,-14.606250762939453
1780563831901022500,0.8460224609375,-31.781251907348633,-27.11250114440918,-17.043750762939453
1780563831921019100,0.86601904296875,-32.775001525878906,-25.856250762939453,-18.356250762939453
1780563831941015600,0.886015625,-33,-23.17500114440918,-15.768750190734863
1780563831961020000,0.90602001953125,-33.1875,-22.293750762939453,-14.21250057220459
1780563831981016600,0.9260166015625,-33.69375228881836,-22.762500762939453,-15.506250381469727
1780563832001021000,0.94602099609375,-34.95000076293945,-20.981250762939453,-17.8125
1780563832021025000,0.96602490234375,-34.275001525878906,-21.431251525878906,-18.48750114440918
1780563832041021700,0.986021728515625,-33.09375,-22.575000762939453,-18.20625114440918
1780563832061025800,1.00602587890625,-31.500001907348633,-22.40625,-18.1875
1780563832081022500,1.0260224609375,-31.293750762939453,-23.287500381469727,-19.743751525878906
1780563832101019100,1.04601904296875,-31.556251525878906,-23.381250381469727,-21.225000381469727
1780563832121023500,1.0660234375,-30.20625114440918,-23.83125114440918,-21.693750381469727
1780563832141020200,1.086020263671875,-28.406251907348633,-23.887500762939453,-22.350000381469727
1780563832161016600,1.1060166015625,-26.83125114440918,-23.381250381469727,-23.137500762939453
1780563832181021000,1.12602099609375,-28.462501525878906,-22.80000114440918,-23.26875114440918
1780563832201025300,1.146025390625,-29.137500762939453,-21.975000381469727,-22.537500381469727
1780563832221029600,1.166029541015625,-28.42500114440918,-22.5,-21.76875114440918
1780563832241034000,1.186033935546875,-28.89375114440918,-24.39375114440918,-24.056251525878906
1780563832261030400,1.206030517578125,-28.087501525878906,-24.037500381469727,-27.150001525878906
