time,seconds_elapsed,yaw,pitch,qy,qz,roll,qx,qw
1781215230987105300,-1.176894775390625,0.2562285363674164,0.17638547718524933,-0.07230699807405472,-0.11942700296640396,-0.1692793369293213,-0.09780299663543701,0.9853640198707581
1781215231007008000,-1.156991943359375,0.1130509227514267,0.17156200110912323,-0.07871700078248978,-0.04890500009059906,-0.16816331446170807,-0.08996400237083435,0.9916239976882935
1781215231017109200,-1.146890869140625,0.11135158687829971,0.17035092413425446,-0.0788080021739006,-0.048117998987436295,-0.16811643540859222,-0.08929599821567535,0.9917150139808655
1781215231027210500,-1.13678955078125,0.11029432713985443,0.16895969212055206,-0.07889900356531143,-0.047655001282691956,-0.16811810433864594,-0.08856499940156937,0.9917960166931152
1781215231037181400,-1.126818603515625,0.114812932908535,0.16850736737251282,-0.07936999946832657,-0.0498570017516613,-0.16944268345832825,-0.08855199813842773,0.9916509985923767
1781215231047252200,-1.116747802734375,0.14466054737567902,0.16892075538635254,-0.07805100083351135,-0.06462900340557098,-0.16949841380119324,-0.08993300050497055,0.9907780289649963
1781215231057292300,-1.106707763671875,0.146762415766716,0.16878901422023773,-0.07787500321865082,-0.0656839981675148,-0.16932342946529388,-0.08994399756193161,0.9907220005989075
1781215231067363300,-1.09663671875,0.1838207095861435,0.16820159554481506,-0.07610300183296204,-0.08406700193881989,-0.16907881200313568,-0.0910710021853447,0.9893659949302673
1781215231087535400,-1.076464599609375,0.20222190022468567,0.16621369123458862,-0.07509200274944305,-0.09328299760818481,-0.16851955652236938,-0.0907600000500679,0.9886459708213806
1781215231097606100,-1.066393798828125,0.21635344624519348,0.16476324200630188,-0.07433599978685379,-0.1003509983420372,-0.16812361776828766,-0.09055300056934357,0.9880300164222717
1781215231107677000,-1.056322998046875,0.20580336451530457,0.16352280974388123,-0.07454399764537811,-0.09522499889135361,-0.16744357347488403,-0.08951500058174133,0.9886159896850586
1781215231117778200,-1.046221923828125,0.2037164866924286,0.16184815764427185,-0.07400999963283539,-0.09433399885892868,-0.1659921258687973,-0.08854199945926666,0.9888290166854858
1781215231127849000,-1.036151123046875,0.20353193581104279,0.15977157652378082,-0.07349199801683426,-0.09439300000667572,-0.1647021770477295,-0.08744899928569794,0.988959014415741
1781215231137950500,-1.026049560546875,0.20305606722831726,0.15715214610099792,-0.07294099777936935,-0.09433700144290924,-0.16326212882995605,-0.0860700011253357,0.9891260266304016
1781215231148051700,-1.0159482421875,0.20322492718696594,0.15503278374671936,-0.0724480003118515,-0.09456600248813629,-0.16205064952373505,-0.08497200161218643,0.9892359972000122
1781215231188396000,-0.97560400390625,0.24990533292293549,0.14906524121761322,-0.06726499646902084,-0.11819600313901901,-0.15482132136821747,-0.08327300101518631,0.9872030019760132
1781215231198436000,-0.96556396484375,0.2654435932636261,0.1487606167793274,-0.06521099805831909,-0.12599599361419678,-0.15192988514900208,-0.08346100151538849,0.9863600134849548
1781215231218608400,-0.9453916015625,0.27308139204978943,0.14970220625400543,-0.06282900273799896,-0.1298920065164566,-0.1478799730539322,-0.0839100033044815,0.9859709739685059
1781215231228679200,-0.93532080078125,0.2747504413127899,0.15083275735378265,-0.061730001121759415,-0.13074900209903717,-0.14595499634742737,-0.08439300209283829,0.9858859777450562
1781215231238750000,-0.92525,0.2748865485191345,0.15232253074645996,-0.06038700044155121,-0.13086099922657013,-0.14345631003379822,-0.0849670022726059,0.9859049916267395
1781215231248820700,-0.91517919921875,0.2802729606628418,0.15347549319267273,-0.05903699994087219,-0.13355900347232819,-0.1413503885269165,-0.08555600047111511,0.9855740070343018
1781215231258922000,-0.905078125,0.2919379770755768,0.15367351472377777,-0.05757300183176994,-0.13937999308109283,-0.13942275941371918,-0.08586200326681137,0.9848269820213318
1781215231268992800,-0.89500732421875,0.31290850043296814,0.15229113399982452,-0.05601000040769577,-0.14982099831104279,-0.137856125831604,-0.08566500246524811,0.9834010004997253
1781215231289195500,-0.874804443359375,0.35092395544052124,0.14620907604694366,-0.05385199934244156,-0.16882100701332092,-0.13568763434886932,-0.08355499804019928,0.9806200265884399
1781215231299296800,-0.864703125,0.36802032589912415,0.14241556823253632,-0.05312399938702583,-0.17737899720668793,-0.13493962585926056,-0.08209200203418732,0.9792720079421997
1781215231309428700,-0.8545712890625,0.3797266483306885,0.13879083096981049,-0.05231500044465065,-0.1833070069551468,-0.13355682790279388,-0.08050499856472015,0.9783560037612915
1781215231319499500,-0.84450048828125,0.3889487683773041,0.13344678282737732,-0.05146599933505058,-0.1881060004234314,-0.13150466978549957,-0.07794500142335892,0.9776970148086548
1781215231329600800,-0.834399169921875,0.39593416452407837,0.12779554724693298,-0.0503619983792305,-0.19184499979019165,-0.12864618003368378,-0.07509399950504303,0.9772509932518005
1781215231339671600,-0.824328369140625,0.39984434843063354,0.12185060977935791,-0.04936400055885315,-0.1940860003232956,-0.12567663192749023,-0.0720050036907196,0.9770920276641846
