time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1781033579707500300,2.313500244140625,-0.3584100008010864,0.0585529990494251,0.0207780003547668,0.9314939975738524,0.124298095703125,0.0032628013286739,0.7344115376472473
1781033579727006500,2.33300634765625,-0.3602589964866638,0.0532190017402172,0.0188209991902112,0.9311419725418092,0.1129101291298866,0.0032952078618109,0.7381380200386047
1781033579746515200,2.35251513671875,-0.3616800010204315,0.0468979999423027,0.0168529991060495,0.9309689998626708,0.0996772497892379,0.0025449013337492,0.7409765720367432
1781033579766017500,2.372017578125,-0.3628360033035278,0.04008200019598,0.0153310000896453,0.9308639764785768,0.0858525037765502,0.0005442332476377,0.7433135509490967
1781033579785519400,2.391519287109375,-0.3634780049324035,0.0330180004239082,0.0150420004501938,0.93089497089386,0.0724714547395706,-0.0040024216286838,0.7446557879447937
1781033579805025300,2.411025390625,-0.3640109896659851,0.0262529999017715,0.0163490008562803,0.9308800101280212,0.0608206056058406,-0.0113253984600305,0.7458595633506775
1781033579824527400,2.43052734375,-0.3646009862422943,0.0201270002871751,0.0192949995398521,0.9307460188865662,0.0515706874430179,-0.0212424360215663,0.7472608089447021
1781033579844031000,2.450031005859375,-0.3652769923210144,0.0146960001438856,0.0236179996281862,0.9304819703102112,0.0446424074470996,-0.0332221314311027,0.748905599117279
1781033579863538200,2.4695380859375,-0.3659819960594177,0.0100290002301335,0.0286679994314908,0.9301260113716124,0.0396928191184997,-0.0460050627589225,0.7506517767906189
1781033579883043300,2.489043212890625,-0.3656969964504242,0.0053570000454783,0.0337730012834072,0.9301049709320068,0.0347338020801544,-0.0589409172534942,0.7502467036247253
1781033579902547700,2.508547607421875,-0.3649980127811432,0.0007810000097379,0.0378930009901523,0.9302359819412231,0.0291903614997863,-0.0699858590960502,0.7488467693328857
1781033579922052400,2.52805224609375,-0.3634969890117645,-0.0041430001147091,0.0412410013377666,0.9306719899177552,0.0223434772342443,-0.0798604860901832,0.7456013560295105
1781033579941557200,2.54755712890625,-0.3609479963779449,-0.0095790000632405,0.0441210009157657,0.9314919710159302,0.0140616549178957,-0.0892301127314567,0.7399862408638
1781033579961061600,2.5670615234375,-0.3570599853992462,-0.0154889998957514,0.046849999576807,0.9327759742736816,0.0045832716859877,-0.0986219048500061,0.7313950657844543
1781033579980563200,2.586563232421875,-0.3516049981117248,-0.0221340004354715,0.0494630001485347,0.934578001499176,-0.0066278544254601,-0.1082300841808319,0.7193160653114319
1781033580000064300,2.606064208984375,-0.3456700146198272,-0.0290130004286766,0.0519040003418922,0.9364699721336364,-0.0185855962336063,-0.1175413951277732,0.7061178684234619
1781033580019569400,2.6255693359375,-0.3391929864883423,-0.0361649990081787,0.0540870018303394,0.9384639859199524,-0.0314431712031364,-0.1263874471187591,0.6916593909263611
1781033580039078000,2.645077880859375,-0.3328059911727905,-0.0432629995048046,0.0554580017924308,0.9403679966926576,-0.0448668748140335,-0.1334943771362304,0.6773081421852112
1781033580058585900,2.6645859375,-0.3265340030193329,-0.0501670017838478,0.0558030009269714,0.9422010183334352,-0.0586858242750167,-0.1383587718009948,0.6631541848182678
1781033580078090000,2.684090087890625,-0.3265340030193329,-0.0501670017838478,0.0558030009269714,0.9422010183334352,-0.0586858242750167,-0.1383587718009948,0.6631541848182678
1781033580097590000,2.703590087890625,-0.3265340030193329,-0.0501670017838478,0.0558030009269714,0.9422010183334352,-0.0586858242750167,-0.1383587718009948,0.6631541848182678
1781033580117091800,2.723091796875,-0.3169730007648468,-0.0617499984800815,0.0540990009903907,0.9448739886283876,-0.0833285227417945,-0.1418549120426178,0.6414127349853516
1781033580136595200,2.74259521484375,-0.3132359981536865,-0.0662529990077018,0.0523560009896755,0.945913016796112,-0.093604065477848,-0.14102104306221,0.6329460740089417
1781033580156103000,2.76210302734375,-0.3062950074672699,-0.0729449987411499,0.0496330000460147,0.9478390216827391,-0.1091461107134819,-0.1392228901386261,0.6174993515014648
1781033580175615000,2.781614990234375,-0.3062950074672699,-0.0729449987411499,0.0496330000460147,0.9478390216827391,-0.1091461107134819,-0.1392228901386261,0.6174993515014648
1781033580195123700,2.801123779296875,-0.3025960028171539,-0.0754669979214668,0.0489169992506504,0.9488660097122192,-0.1149707213044166,-0.1389500796794891,0.6094048619270325
1781033580214632200,2.820632080078125,-0.2918440103530884,-0.0805260017514228,0.0476239994168281,0.9518790245056152,-0.1270524710416793,-0.1381052434444427,0.5861979722976685
1781033580234141700,2.8401416015625,-0.2918440103530884,-0.0805260017514228,0.0476239994168281,0.9518790245056152,-0.1270524710416793,-0.1381052434444427,0.5861979722976685
1781033580253652700,2.85965283203125,-0.2854349911212921,-0.0827400013804435,0.0467259995639324,0.9536749720573424,-0.1327657848596573,-0.1367827504873275,0.5725206136703491
1781033580273164800,2.879164794921875,-0.2794190049171448,-0.0844670012593269,0.0453209988772869,0.9553719758987428,-0.1377373933792114,-0.1342026740312576,0.5597999691963196
1781033580292673800,2.898673828125,-0.2740080058574676,-0.0855770036578178,0.0433840006589889,0.9569290280342102,-0.1416775286197662,-0.1302967518568039,0.5484989285469055
