time,seconds_elapsed,z,y,x
1781034060356574000,0.923573974609375,5.285275936126709,-1.8331819772720337,-8.046446800231934
1781034060376081000,0.943080810546875,5.032168865203857,-1.792451024055481,-8.216105461120605
1781034060395590100,0.962590087890625,4.796573162078857,-1.7593849897384644,-8.362859725952148
1781034060415096600,0.9820966796875,4.5831298828125,-1.736786961555481,-8.486371040344238
1781034060434603000,1.00160302734375,4.420013904571533,-1.7328150272369385,-8.573262214660645
1781034060454115800,1.02111572265625,4.301684856414795,-1.7466739416122437,-8.630448341369629
1781034060473631000,1.040630859375,4.301684856414795,-1.7466739416122437,-8.630448341369629
1781034060493140000,1.060139892578125,4.218038082122803,-1.7742249965667725,-8.666041374206543
1781034060512652500,1.079652587890625,4.108234882354736,-1.839571952819824,-8.705077171325684
1781034060532167400,1.09916748046875,4.108234882354736,-1.839571952819824,-8.705077171325684
1781034060551677700,1.118677734375,4.057624816894531,-1.911090970039368,-8.713403701782227
1781034060571190800,1.138190673828125,4.057624816894531,-1.911090970039368,-8.713403701782227
1781034060590701000,1.157701171875,4.039601802825928,-1.9437370300292969,-8.714555740356445
1781034060610207500,1.17720751953125,4.029345989227295,-1.9763439893722532,-8.711971282958984
1781034060629715500,1.196715576171875,4.028334140777588,-2.0132598876953125,-8.70398235321045
1781034060649225200,1.21622509765625,4.033064842224121,-2.0517709255218506,-8.692791938781738
1781034060668733000,1.23573291015625,4.037446022033691,-2.090862989425659,-8.681435585021973
1781034060688236800,1.25523681640625,4.03040885925293,-2.1260340213775635,-8.67616081237793
1781034060707742500,1.274742431640625,4.004878044128418,-2.154802083969116,-8.680885314941406
1781034060727249200,1.294249267578125,3.958868980407715,-2.1744229793548584,-8.697083473205566
1781034060746755300,1.31375537109375,3.896920919418335,-2.184146881103516,-8.722586631774902
1781034060766266000,1.33326611328125,3.817172050476074,-2.1820640563964844,-8.758298873901367
1781034060785779200,1.352779296875,3.725766897201538,-2.1668920516967773,-8.80132007598877
1781034060805293600,1.37229345703125,3.626205921173096,-2.140458106994629,-8.84924030303955
1781034060824812300,1.391812255859375,3.521514892578125,-2.104857921600342,-8.899916648864746
1781034060844329200,1.4113291015625,3.415738105773926,-2.063730001449585,-8.950628280639648
1781034060863843000,1.430843017578125,3.310549020767212,-2.018800973892212,-9.000261306762695
1781034060883352600,1.4503525390625,3.2095088958740234,-1.971801996231079,-9.047157287597656
1781034060902861800,1.46986181640625,3.113471031188965,-1.9225000143051147,-9.091219902038574
1781034060922372600,1.48937255859375,3.02319598197937,-1.870987057685852,-9.132344245910645
1781034060941884200,1.50888427734375,2.933582067489624,-1.8176599740982056,-9.172252655029297
1781034060961396200,1.528396240234375,2.83647894859314,-1.7611260414123535,-9.213729858398438
1781034060980908000,1.547907958984375,2.7234809398651123,-1.697909951210022,-9.259576797485352
1781034061000422400,1.56742236328125,2.5934739112854004,-1.6249350309371948,-9.309859275817873
1781034061019933000,1.586932861328125,2.446969985961914,-1.5404030084609983,-9.363733291625977
1781034061039446800,1.60644677734375,2.2864110469818115,-1.4442909955978394,-9.419466018676758
1781034061058967300,1.62596728515625,2.119739055633545,-1.3375999927520752,-9.474044799804688
1781034061078482400,1.645482421875,1.9573220014572144,-1.224112033843994,-9.524202346801758
1781034061097992700,1.66499267578125,1.808717966079712,-1.1092779636383057,-9.567551612854004
1781034061117505300,1.68450537109375,1.6748559474945068,-0.9979000091552734,-9.604116439819336
1781034061137023500,1.7040234375,1.5591200590133667,-0.8961640000343323,-9.633588790893556
1781034061156540400,1.72354052734375,1.4603569507598877,-0.8069829940795898,-9.656922340393066
1781034061176053800,1.7430537109375,1.381862998008728,-0.7325339913368225,-9.674391746520996
1781034061195569000,1.76256884765625,1.325111985206604,-0.6723600029945374,-9.686692237854004
1781034061215085000,1.7820849609375,1.3045029640197754,-0.6269530057907104,-9.692532539367676
1781034061234599000,1.801598876953125,1.329285979270935,-0.604049026966095,-9.690619468688965
1781034061254112500,1.821112548828125,1.4054700136184692,-0.6018909811973572,-9.679999351501465
1781034061293144000,1.86014404296875,1.7083319425582886,-0.6706550121307373,-9.626620292663574
1781034061312660500,1.879660400390625,1.9175620079040527,-0.738785982131958,-9.58212661743164
1781034061332169700,1.899169677734375,1.9175620079040527,-0.738785982131958,-9.58212661743164
1781034061351678500,1.918678466796875,1.9175620079040527,-0.738785982131958,-9.58212661743164
1781034061371188700,1.938188720703125,2.506004095077514,-1.003188967704773,-9.420910835266112
1781034061390699000,1.957698974609375,2.506004095077514,-1.003188967704773,-9.420910835266112
1781034061410212900,1.977212890625,2.664346933364868,-1.091372013092041,-9.36750602722168
1781034061429727000,1.99672705078125,2.80237889289856,-1.175467014312744,-9.316917419433594
1781034061449235700,2.016235595703125,2.923274040222168,-1.2543729543685913,-9.26935863494873
1781034061468744400,2.035744384765625,3.039560079574585,-1.3315269947052002,-9.2210693359375
1781034061488254700,2.055254638671875,3.151106119155884,-1.407331943511963,-9.172237396240234
1781034061507764000,2.074763916015625,3.257534980773926,-1.4820109605789185,-9.123163223266602
1781034061527273700,2.094273681640625,3.360270977020264,-1.5586919784545898,-9.07298469543457
1781034061546785500,2.11378564453125,3.4586710929870605,-1.6373169422149658,-9.022016525268556
1781034061566300200,2.133300048828125,3.5535728931427,-1.7181659936904907,-8.969950675964355
1781034061585813000,2.15281298828125,3.6452109813690186,-1.801448941230774,-8.916681289672852
1781034061605326000,2.172326171875,3.733213901519776,-1.8874109983444212,-8.862323760986328
1781034061624842200,2.19184228515625,3.8169469833374015,-1.976441979408264,-8.807076454162598
1781034061644355600,2.21135546875,3.89689302444458,-2.069391965866089,-8.750534057617188
1781034061663867400,2.230867431640625,3.971173048019409,-2.165771007537842,-8.693632125854492
1781034061683375400,2.250375244140625,4.037720203399658,-2.264508008956909,-8.637639045715332
1781034061702881800,2.2698818359375,4.0944647789001465,-2.3634090423583984,-8.584267616271973
1781034061722391600,2.2893916015625,4.138073921203613,-2.4580719470977783,-8.536641120910645
1781034061741904400,2.308904296875,4.167348861694336,-2.543787002563477,-8.497197151184082
1781034061761415700,2.328415771484375,4.177923202514648,-2.61329197883606,-8.470870971679688
1781034061780925700,2.34792578125,4.167383193969727,-2.6612799167633057,-8.461116790771484
1781034061800436700,2.367436767578125,4.1355061531066895,-2.6848740577697754,-8.46929931640625
1781034061819950600,2.38695068359375,4.076510906219482,-2.68262791633606,-8.498562812805176
1781034061839462000,2.4064619140625,3.988331079483032,-2.649785041809082,-8.550546646118164
1781034061858972400,2.425972412109375,3.865446090698242,-2.588092088699341,-8.62554931640625
1781034061878487000,2.445487060546875,3.712148904800415,-2.49735689163208,-8.719125747680664
1781034061898005200,2.465005126953125,3.531244993209839,-2.380465030670166,-8.826306343078613
1781034061917520600,2.484520751953125,3.327802896499634,-2.2376749515533447,-8.941953659057617
1781034061937033000,2.504032958984375,3.123595952987671,-2.07382607460022,-9.05441188812256
1781034061956546600,2.523546630859375,2.9271240234375,-1.8985919952392576,-9.15790843963623
1781034061976065000,2.54306494140625,2.747942924499512,-1.715993046760559,-9.249009132385254
1781034061995587600,2.562587646484375,2.590219020843506,-1.5379509925842283,-9.325528144836426
1781034062015109600,2.582109619140625,2.4569759368896484,-1.369318962097168,-9.38766384124756
1781034062034628900,2.60162890625,2.347827911376953,-1.21497905254364,-9.436711311340332
1781034062054149400,2.6211494140625,2.253336906433105,-1.0748670101165771,-9.47666358947754
1781034062073671700,2.640671630859375,2.253336906433105,-1.0748670101165771,-9.47666358947754
1781034062093189400,2.660189453125,2.177755117416382,-0.9522939920425416,-9.507393836975098
1781034062112705500,2.67970556640625,2.1215291023254395,-0.8473299741744995,-9.53001308441162
1781034062132219000,2.699218994140625,2.0822949409484863,-0.7560949921607971,-9.5463285446167
1781034062151730700,2.718730712890625,2.0822949409484863,-0.7560949921607971,-9.5463285446167
1781034062171244800,2.738244873046875,2.0482189655303955,-0.6169160008430481,-9.563692092895508
