"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.025004166E-2,9.716849774E-3,3.000463918E-2,-2.793893404E-2
2.966704166E-2,3.112380020E-2,2.058060840E-2,-2.598201670E-2
4.971104166E-2,2.275279909E-2,3.112101741E-2,-3.279923648E-2
6.975404167E-2,-2.150622662E-3,1.131068915E-2,-1.693962887E-2
8.979804166E-2,-4.002893716E-2,-6.514650583E-2,8.775455877E-3
1.098410417E-1,-1.246775128E-2,-4.233842343E-2,4.579987377E-3
1.298850417E-1,5.148561299E-2,4.938640445E-2,-3.651479632E-2
1.499290417E-1,1.200199425E-1,2.125583142E-1,-1.170455739E-1
1.699720417E-1,1.263280809E-1,2.998954058E-1,-2.613007724E-1
1.900160417E-1,1.260907948E-1,2.741503417E-1,-2.222460359E-1
2.100590417E-1,3.688681126E-2,1.368141472E-1,-1.163265109E-1
2.301030417E-1,-2.551608905E-2,9.739150852E-2,-1.897355914E-1
2.501460417E-1,2.847879753E-2,1.881978661E-1,-3.513648212E-1
2.701900417E-1,3.831483051E-2,1.983945966E-1,-5.012052655E-1
2.902330417E-1,-4.746769741E-2,2.016421854E-1,-7.636543512E-1
3.102770417E-1,-1.255710423E-1,2.873026133E-1,-1.179901242E0
3.303210417E-1,-2.107980549E-1,2.838761508E-1,-1.684370518E0
3.503640417E-1,-3.121402264E-1,2.833852768E-1,-2.485728979E0
3.704080417E-1,-2.930022180E-1,-1.423054039E-1,-2.993800163E0
3.904510417E-1,1.960857958E-1,-2.233978212E-1,-2.680300951E0
4.104950417E-1,7.364280224E-1,-1.199223325E-1,-2.349843979E0
4.305380417E-1,6.926271915E-1,-7.812272012E-2,-2.440411806E0
4.505820417E-1,4.682184160E-1,3.644180596E-1,-2.760197401E0
4.706250417E-1,1.108360291E0,6.991654634E-1,-2.882866621E0
4.906690417E-1,1.250496745E0,2.061465502E0,-2.675976038E0
5.107120417E-1,4.153985083E-1,2.601028919E0,-2.512525082E0
5.307560417E-1,4.686713815E-1,2.525351286E0,-2.462984324E0
5.508000417E-1,4.704651237E-1,1.974384546E0,-2.313249350E0
5.708430417E-1,1.804318577E-1,1.061789274E0,-2.464941263E0
5.908870417E-1,-1.796703339E-1,3.834740818E-1,-2.890745878E0
6.109300417E-1,-2.141292989E-1,7.294021845E-1,-3.202554226E0
6.309740417E-1,5.811071768E-2,1.358431339E0,-3.705089569E0
6.510162500E-1,2.852627039E-1,1.762242913E0,-3.862391710E0
6.710602500E-1,-9.195727110E-2,1.465942502E0,-2.703814268E0
6.911032500E-1,-7.151449919E-1,9.516024590E-1,1.032035112E0
7.111472500E-1,-5.307699442E-1,4.516294599E-1,9.690324664E-1
7.311912500E-1,-2.925250828E-1,8.494875431E-1,-2.961807847E-1
7.512342500E-1,-4.076171294E-2,5.739503503E-1,-1.837489307E-1
7.712782500E-1,2.185170949E-1,-1.604919285E-1,8.000412583E-2
7.913212500E-1,2.543741763E-1,-3.827866912E-1,4.362166673E-2
8.113652500E-1,1.404666156E-1,-2.000979930E-1,6.468745321E-2
8.314082500E-1,1.634117961E-2,1.275574714E-1,3.907809034E-3
8.514522500E-1,-6.178458780E-2,2.893256843E-1,-1.568077877E-2
8.714952500E-1,-7.919261605E-2,2.753251493E-1,-5.883033387E-3
8.915392500E-1,-5.388711765E-2,2.146996260E-1,1.430409215E-2
9.115832500E-1,-2.034274675E-2,1.890522838E-1,2.496150695E-2
9.316262500E-1,-1.353228837E-2,2.034751773E-1,2.119520865E-2
9.516702500E-1,-3.542555124E-2,1.925320029E-1,1.658216119E-2
9.717132500E-1,-6.258074939E-2,1.849414259E-1,1.752463169E-2
9.917572500E-1,-8.683665097E-2,2.333658934E-1,1.076670177E-2
1.011800250E0,-9.923925996E-2,3.290610313E-1,9.405583143E-3
1.031844250E0,-1.101295575E-1,3.924601674E-1,1.963569224E-2
1.051887250E0,-1.323030293E-1,4.045530558E-1,3.039353155E-2
1.071931250E0,-1.568466723E-1,4.474518001E-1,2.689208463E-2
1.091974250E0,-1.887267083E-1,5.484434366E-1,1.610756293E-2
1.112018250E0,-2.341108918E-1,6.867982745E-1,3.900114680E-3
1.132062250E0,-2.650248408E-1,7.798779011E-1,3.319891402E-3
1.152105250E0,-2.954096198E-1,8.351150751E-1,-1.872602105E-2
1.172149250E0,-3.411685228E-1,9.447116256E-1,-4.672697932E-2
1.192192250E0,-4.158264399E-1,1.031877398E0,-7.470971346E-2
1.212236250E0,-5.154363513E-1,1.050506473E0,-6.709285825E-2
1.232279250E0,-5.568576455E-1,9.518942237E-1,-4.691036418E-2
1.252323250E0,-5.619378686E-1,8.373628259E-1,-2.042279951E-2
1.272367250E0,-5.712659359E-1,7.403680682E-1,3.819046775E-3
1.292410250E0,-5.719154477E-1,6.437062621E-1,2.864636481E-2
1.312454250E0,-5.307180285E-1,6.856194735E-1,2.496723458E-2
1.332497250E0,-4.228851199E-1,7.739994526E-1,8.549115621E-3
1.352541250E0,-2.923110723E-1,6.611363888E-1,2.229432575E-2
1.372584250E0,-1.869878024E-1,4.489942789E-1,3.790103644E-2
1.392628250E0,-2.466792613E-1,4.710331559E-1,1.292327791E-2
1.412671250E0,-4.135222733E-1,7.560179234E-1,-4.827491194E-2
1.432715250E0,-5.161120892E-1,1.064531922E0,-1.052038968E-1
1.452759250E0,-5.461347699E-1,1.323032379E0,-1.253876537E-1
1.472802250E0,-4.640801251E-1,1.395003080E0,-1.029445156E-1
1.492846250E0,-2.738946974E-1,1.211107731E0,-8.286418766E-2
1.512889250E0,-1.181592718E-1,8.070499897E-1,-4.988921806E-2
1.532933250E0,-5.942349881E-2,2.862794101E-1,9.962292388E-3
1.552976250E0,-1.995803230E-2,-3.673571721E-2,7.751531899E-2
